snapshot_id,game_id,retrieved_at,provider_updated_at,book,spread_home,spread_home_price,spread_away_price,ml_home,ml_away,total,over_price,under_price,spread_ticket_pct_home,spread_money_pct_home,ml_ticket_pct_home,ml_money_pct_home,total_ticket_pct_over,total_money_pct_over,is_first_snapshot,provider_open_spread_home,provider_open_total,source,plan
2026_NFL_W05_TB_DAL_draftkings_20260905T142525Z,2026_NFL_W05_TB_DAL,2026-09-05T14:25:25.083854+00:00,2026-09-05T14:24:38Z,draftkings,-3.5,-110,-110,-205.0,170.0,52.5,-110,-110,,,,,,,True,,,odds_api,free
2026_NFL_W05_TB_DAL_betus_20260905T142525Z,2026_NFL_W05_TB_DAL,2026-09-05T14:25:25.083854+00:00,2026-09-05T14:25:17Z,betus,-3.5,-110,-110,,,52.5,-110,-110,,,,,,,True,,,odds_api,free
2026_NFL_W05_PHI_JAX_draftkings_20260905T142525Z,2026_NFL_W05_PHI_JAX,2026-09-05T14:25:25.083854+00:00,2026-09-05T14:24:38Z,draftkings,1.5,-110,-110,105.0,-125.0,45.5,-110,-110,,,,,,,True,,,odds_api,free
2026_NFL_W05_PHI_JAX_fanduel_20260905T142525Z,2026_NFL_W05_PHI_JAX,2026-09-05T14:25:25.083854+00:00,2026-09-05T14:25:12Z,fanduel,1.5,-112,-108,102.0,-120.0,44.5,-104,-118,,,,,,,True,,,odds_api,free
2026_NFL_W05_PHI_JAX_betus_20260905T142525Z,2026_NFL_W05_PHI_JAX,2026-09-05T14:25:25.083854+00:00,2026-09-05T14:25:17Z,betus,1.5,-105,-115,,,44.5,-110,-110,,,,,,,True,,,odds_api,free
2026_NFL_W05_CIN_MIA_draftkings_20260905T142525Z,2026_NFL_W05_CIN_MIA,2026-09-05T14:25:25.083854+00:00,2026-09-05T14:24:38Z,draftkings,6.0,-110,-110,225.0,-278.0,49.5,-110,-110,,,,,,,True,,,odds_api,free
2026_NFL_W05_CIN_MIA_betus_20260905T142525Z,2026_NFL_W05_CIN_MIA,2026-09-05T14:25:25.083854+00:00,2026-09-05T14:25:17Z,betus,5.5,-110,-110,,,49.5,-110,-110,,,,,,,True,,,odds_api,free
2026_NFL_W05_CLE_NYJ_draftkings_20260905T142525Z,2026_NFL_W05_CLE_NYJ,2026-09-05T14:25:25.083854+00:00,2026-09-05T14:24:38Z,draftkings,-1.5,-115,-105,-130.0,110.0,39.5,-110,-110,,,,,,,True,,,odds_api,free
2026_NFL_W05_HOU_TEN_draftkings_20260905T142525Z,2026_NFL_W05_HOU_TEN,2026-09-05T14:25:25.083854+00:00,2026-09-05T14:24:38Z,draftkings,3.5,-110,-110,154.0,-185.0,43.5,-110,-110,,,,,,,True,,,odds_api,free
2026_NFL_W05_HOU_TEN_betus_20260905T142525Z,2026_NFL_W05_HOU_TEN,2026-09-05T14:25:25.083854+00:00,2026-09-05T14:25:17Z,betus,3.5,-110,-110,,,43.5,-110,-110,,,,,,,True,,,odds_api,free
2026_NFL_W05_IND_PIT_draftkings_20260905T142525Z,2026_NFL_W05_IND_PIT,2026-09-05T14:25:25.083854+00:00,2026-09-05T14:24:38Z,draftkings,-2.5,-110,-110,-142.0,120.0,47.5,-110,-110,,,,,,,True,,,odds_api,free
2026_NFL_W05_IND_PIT_betus_20260905T142525Z,2026_NFL_W05_IND_PIT,2026-09-05T14:25:25.083854+00:00,2026-09-05T14:25:17Z,betus,-2.5,-110,-110,,,47.5,-110,-110,,,,,,,True,,,odds_api,free
2026_NFL_W05_LV_NE_draftkings_20260905T142525Z,2026_NFL_W05_LV_NE,2026-09-05T14:25:25.083854+00:00,2026-09-05T14:24:38Z,draftkings,-8.5,-110,-110,-395.0,310.0,44.5,-110,-110,,,,,,,True,,,odds_api,free
2026_NFL_W05_MIN_NO_draftkings_20260905T142525Z,2026_NFL_W05_MIN_NO,2026-09-05T14:25:25.083854+00:00,2026-09-05T14:24:38Z,draftkings,1.5,-110,-110,105.0,-125.0,44.5,-110,-110,,,,,,,True,,,odds_api,free
2026_NFL_W05_MIN_NO_betus_20260905T142525Z,2026_NFL_W05_MIN_NO,2026-09-05T14:25:25.083854+00:00,2026-09-05T14:25:17Z,betus,1.5,-115,-105,,,44.5,-110,-110,,,,,,,True,,,odds_api,free
2026_NFL_W05_NYG_WAS_draftkings_20260905T142525Z,2026_NFL_W05_NYG_WAS,2026-09-05T14:25:25.083854+00:00,2026-09-05T14:24:38Z,draftkings,-1.5,-115,-105,-130.0,110.0,48.5,-110,-110,,,,,,,True,,,odds_api,free
2026_NFL_W05_NYG_WAS_betus_20260905T142525Z,2026_NFL_W05_NYG_WAS,2026-09-05T14:25:25.083854+00:00,2026-09-05T14:25:17Z,betus,-2.5,-110,-110,,,48.5,-110,-110,,,,,,,True,,,odds_api,free
2026_NFL_W05_DEN_LAC_draftkings_20260905T142525Z,2026_NFL_W05_DEN_LAC,2026-09-05T14:25:25.083854+00:00,2026-09-05T14:24:38Z,draftkings,-2.5,-110,-110,-142.0,120.0,44.5,-110,-110,,,,,,,True,,,odds_api,free
2026_NFL_W05_DEN_LAC_betus_20260905T142525Z,2026_NFL_W05_DEN_LAC,2026-09-05T14:25:25.083854+00:00,2026-09-05T14:25:17Z,betus,-2.5,-110,-110,,,44.5,-110,-110,,,,,,,True,,,odds_api,free
2026_NFL_W05_DET_ARI_draftkings_20260905T142525Z,2026_NFL_W05_DET_ARI,2026-09-05T14:25:25.083854+00:00,2026-09-05T14:24:38Z,draftkings,8.5,-110,-110,300.0,-380.0,48.5,-110,-110,,,,,,,True,,,odds_api,free
2026_NFL_W05_CHI_GB_draftkings_20260905T142525Z,2026_NFL_W05_CHI_GB,2026-09-05T14:25:25.083854+00:00,2026-09-05T14:24:38Z,draftkings,-3.0,-110,-110,-166.0,140.0,49.5,-110,-110,,,,,,,True,,,odds_api,free
2026_NFL_W05_SF_SEA_draftkings_20260905T142525Z,2026_NFL_W05_SF_SEA,2026-09-05T14:25:25.083854+00:00,2026-09-05T14:24:38Z,draftkings,-3.5,-110,-110,-205.0,170.0,48.5,-110,-110,,,,,,,True,,,odds_api,free
2026_NFL_W05_SF_SEA_betus_20260905T142525Z,2026_NFL_W05_SF_SEA,2026-09-05T14:25:25.083854+00:00,2026-09-05T14:25:17Z,betus,-3.5,-110,-110,,,48.5,-110,-110,,,,,,,True,,,odds_api,free
2026_NFL_W05_BAL_ATL_draftkings_20260905T142525Z,2026_NFL_W05_BAL_ATL,2026-09-05T14:25:25.083854+00:00,2026-09-05T14:24:38Z,draftkings,4.5,-110,-110,170.0,-205.0,48.5,-110,-110,,,,,,,True,,,odds_api,free
2026_NFL_W05_BAL_ATL_betus_20260905T142525Z,2026_NFL_W05_BAL_ATL,2026-09-05T14:25:25.083854+00:00,2026-09-05T14:25:17Z,betus,4.5,-110,-110,,,48.5,-110,-110,,,,,,,True,,,odds_api,free
2026_NFL_W05_BUF_LAR_draftkings_20260905T142525Z,2026_NFL_W05_BUF_LAR,2026-09-05T14:25:25.083854+00:00,2026-09-05T14:24:38Z,draftkings,-3.0,-110,-110,-166.0,140.0,53.5,-110,-110,,,,,,,True,,,odds_api,free
2026_NFL_W05_TB_DAL_draftkings_20260905T150417Z,2026_NFL_W05_TB_DAL,2026-09-05T15:04:17.564288+00:00,2026-09-05T15:02:04Z,draftkings,-3.5,-110,-110,-205.0,170.0,52.5,-110,-110,,,,,,,True,,,odds_api,free
2026_NFL_W05_TB_DAL_betus_20260905T150417Z,2026_NFL_W05_TB_DAL,2026-09-05T15:04:17.564288+00:00,2026-09-05T15:03:34Z,betus,-3.5,-110,-110,,,52.5,-110,-110,,,,,,,True,,,odds_api,free
2026_NFL_W05_PHI_JAX_draftkings_20260905T150417Z,2026_NFL_W05_PHI_JAX,2026-09-05T15:04:17.564288+00:00,2026-09-05T15:02:04Z,draftkings,1.5,-110,-110,105.0,-125.0,45.5,-110,-110,,,,,,,True,,,odds_api,free
2026_NFL_W05_PHI_JAX_fanduel_20260905T150417Z,2026_NFL_W05_PHI_JAX,2026-09-05T15:04:17.564288+00:00,2026-09-05T15:04:02Z,fanduel,1.5,-112,-108,102.0,-120.0,44.5,-104,-118,,,,,,,True,,,odds_api,free
2026_NFL_W05_PHI_JAX_betus_20260905T150417Z,2026_NFL_W05_PHI_JAX,2026-09-05T15:04:17.564288+00:00,2026-09-05T15:03:34Z,betus,1.5,-105,-115,,,44.5,-110,-110,,,,,,,True,,,odds_api,free
2026_NFL_W05_CIN_MIA_draftkings_20260905T150417Z,2026_NFL_W05_CIN_MIA,2026-09-05T15:04:17.564288+00:00,2026-09-05T15:02:04Z,draftkings,6.0,-110,-110,225.0,-278.0,49.5,-110,-110,,,,,,,True,,,odds_api,free
2026_NFL_W05_CIN_MIA_betus_20260905T150417Z,2026_NFL_W05_CIN_MIA,2026-09-05T15:04:17.564288+00:00,2026-09-05T15:03:34Z,betus,5.5,-110,-110,,,49.5,-110,-110,,,,,,,True,,,odds_api,free
2026_NFL_W05_CLE_NYJ_draftkings_20260905T150417Z,2026_NFL_W05_CLE_NYJ,2026-09-05T15:04:17.564288+00:00,2026-09-05T15:02:04Z,draftkings,-1.5,-115,-105,-130.0,110.0,39.5,-110,-110,,,,,,,True,,,odds_api,free
2026_NFL_W05_HOU_TEN_draftkings_20260905T150417Z,2026_NFL_W05_HOU_TEN,2026-09-05T15:04:17.564288+00:00,2026-09-05T15:02:04Z,draftkings,3.5,-110,-110,154.0,-185.0,43.5,-110,-110,,,,,,,True,,,odds_api,free
2026_NFL_W05_HOU_TEN_betus_20260905T150417Z,2026_NFL_W05_HOU_TEN,2026-09-05T15:04:17.564288+00:00,2026-09-05T15:03:34Z,betus,3.5,-110,-110,,,43.5,-110,-110,,,,,,,True,,,odds_api,free
2026_NFL_W05_IND_PIT_draftkings_20260905T150417Z,2026_NFL_W05_IND_PIT,2026-09-05T15:04:17.564288+00:00,2026-09-05T15:02:04Z,draftkings,-2.5,-110,-110,-142.0,120.0,47.5,-110,-110,,,,,,,True,,,odds_api,free
2026_NFL_W05_IND_PIT_betus_20260905T150417Z,2026_NFL_W05_IND_PIT,2026-09-05T15:04:17.564288+00:00,2026-09-05T15:03:34Z,betus,-2.5,-110,-110,,,47.5,-110,-110,,,,,,,True,,,odds_api,free
2026_NFL_W05_LV_NE_draftkings_20260905T150417Z,2026_NFL_W05_LV_NE,2026-09-05T15:04:17.564288+00:00,2026-09-05T15:02:04Z,draftkings,-8.5,-110,-110,-395.0,310.0,44.5,-110,-110,,,,,,,True,,,odds_api,free
2026_NFL_W05_MIN_NO_draftkings_20260905T150417Z,2026_NFL_W05_MIN_NO,2026-09-05T15:04:17.564288+00:00,2026-09-05T15:02:04Z,draftkings,1.5,-110,-110,105.0,-125.0,44.5,-110,-110,,,,,,,True,,,odds_api,free
2026_NFL_W05_MIN_NO_betus_20260905T150417Z,2026_NFL_W05_MIN_NO,2026-09-05T15:04:17.564288+00:00,2026-09-05T15:03:34Z,betus,1.5,-115,-105,,,44.5,-110,-110,,,,,,,True,,,odds_api,free
2026_NFL_W05_NYG_WAS_draftkings_20260905T150417Z,2026_NFL_W05_NYG_WAS,2026-09-05T15:04:17.564288+00:00,2026-09-05T15:02:04Z,draftkings,-1.5,-115,-105,-130.0,110.0,48.5,-110,-110,,,,,,,True,,,odds_api,free
