game_id,retrieved_at,forecast_for_utc,hours_to_kickoff,is_indoor,roof_status_unknown,source,temp_f,feels_like_f,wind_mph,wind_gust_mph,wind_dir_deg,precip_prob,precip_in,humidity_pct,condition_code,is_actual
2022_NFL_W01_BUF_LAR,2026-09-07T05:47:05.126491+00:00,2022-09-09T00:20:00+00:00,-35021.5,True,False,open_meteo_archive,,,,,,,,,,True
2022_NFL_W01_NO_ATL,2026-09-07T05:47:37.055193+00:00,2022-09-11T17:00:00+00:00,-34956.8,False,True,open_meteo_archive,79.8,85.7,7.8,17.4,219.0,,0.004,75.0,51.0,True
2022_NFL_W01_CLE_CAR,2026-09-07T05:47:37.338633+00:00,2022-09-11T17:00:00+00:00,-34956.8,False,False,open_meteo_archive,80.7,89.1,5.9,14.3,223.0,,0.004,75.0,51.0,True
2022_NFL_W01_SF_CHI,2026-09-07T05:47:37.619058+00:00,2022-09-11T17:00:00+00:00,-34956.8,False,False,open_meteo_archive,68.5,71.2,5.8,16.1,274.0,,0.016,87.0,51.0,True
2022_NFL_W01_PIT_CIN,2026-09-07T05:47:37.902967+00:00,2022-09-11T17:00:00+00:00,-34956.8,False,False,open_meteo_archive,75.2,78.5,7.2,18.1,184.0,,0.004,75.0,51.0,True
2022_NFL_W01_PHI_DET,2026-09-07T05:47:37.903319+00:00,2022-09-11T17:00:00+00:00,-34956.8,True,False,open_meteo_archive,,,,,,,,,,True
2022_NFL_W01_IND_HOU,2026-09-07T05:47:38.187364+00:00,2022-09-11T17:00:00+00:00,-34956.8,False,True,open_meteo_archive,87.6,94.3,7.7,16.3,334.0,,0.0,56.0,0.0,True
2022_NFL_W01_NE_MIA,2026-09-07T05:47:38.475018+00:00,2022-09-11T17:00:00+00:00,-34956.8,False,False,open_meteo_archive,91.4,102.4,6.8,17.2,128.0,,0.0,59.0,1.0,True
2022_NFL_W01_BAL_NYJ,2026-09-07T05:47:38.770385+00:00,2022-09-11T17:00:00+00:00,-34956.8,False,False,open_meteo_archive,74.1,77.4,2.2,6.9,225.0,,0.024,66.0,53.0,True
2022_NFL_W01_JAX_WAS,2026-09-07T05:47:39.042183+00:00,2022-09-11T17:00:00+00:00,-34956.8,False,False,open_meteo_archive,76.1,82.6,5.3,17.2,237.0,,0.008,85.0,51.0,True
2022_NFL_W01_KC_ARI,2026-09-07T05:47:39.313890+00:00,2022-09-11T20:25:00+00:00,-34953.4,False,True,open_meteo_archive,99.6,105.9,2.9,12.8,157.0,,0.0,29.0,0.0,True
2022_NFL_W01_LV_LAC,2026-09-07T05:47:39.314242+00:00,2022-09-11T20:25:00+00:00,-34953.4,True,False,open_meteo_archive,,,,,,,,,,True
2022_NFL_W01_GB_MIN,2026-09-07T05:47:39.314559+00:00,2022-09-11T20:25:00+00:00,-34953.4,True,False,open_meteo_archive,,,,,,,,,,True
2022_NFL_W01_NYG_TEN,2026-09-07T05:47:39.594758+00:00,2022-09-11T20:25:00+00:00,-34953.4,False,False,open_meteo_archive,73.1,77.4,7.9,21.0,265.0,,0.039,88.0,55.0,True
2022_NFL_W01_TB_DAL,2026-09-07T05:47:39.873459+00:00,2022-09-12T00:20:00+00:00,-34949.5,False,True,open_meteo_archive,81.8,81.9,6.6,16.6,325.0,,0.0,46.0,1.0,True
2022_NFL_W01_DEN_SEA,2026-09-07T05:47:40.151235+00:00,2022-09-13T00:15:00+00:00,-34925.5,False,False,open_meteo_archive,72.4,73.3,2.3,17.0,209.0,,0.0,56.0,0.0,True
