game_id,retrieved_at,forecast_for_utc,hours_to_kickoff,is_indoor,roof_status_unknown,source,temp_f,feels_like_f,wind_mph,wind_gust_mph,wind_dir_deg,precip_prob,precip_in,humidity_pct,condition_code,is_actual
2022_NFL_W12_BUF_DET,2026-09-07T05:48:12.909502+00:00,2022-11-24T17:30:00+00:00,-33180.3,True,False,open_meteo_archive,,,,,,,,,,True
2022_NFL_W12_NYG_DAL,2026-09-07T05:48:13.196260+00:00,2022-11-24T21:30:00+00:00,-33176.3,False,True,open_meteo_archive,59.7,58.2,10.2,17.2,8.0,,0.043,96.0,55.0,True
2022_NFL_W12_NE_MIN,2026-09-07T05:48:13.196640+00:00,2022-11-25T01:20:00+00:00,-33172.5,True,False,open_meteo_archive,,,,,,,,,,True
2022_NFL_W12_DEN_CAR,2026-09-07T05:48:13.472481+00:00,2022-11-27T18:00:00+00:00,-33107.8,False,False,open_meteo_archive,66.6,63.7,19.3,36.7,218.0,,0.004,93.0,51.0,True
2022_NFL_W12_TB_CLE,2026-09-07T05:48:13.767807+00:00,2022-11-27T18:00:00+00:00,-33107.8,False,False,open_meteo_archive,55.7,49.1,17.0,28.6,184.0,,0.059,88.0,61.0,True
2022_NFL_W12_BAL_JAX,2026-09-07T05:48:14.041007+00:00,2022-11-27T18:00:00+00:00,-33107.8,False,False,open_meteo_archive,78.3,79.4,16.3,34.2,240.0,,0.016,76.0,51.0,True
2022_NFL_W12_HOU_MIA,2026-09-07T05:48:14.317618+00:00,2022-11-27T18:00:00+00:00,-33107.8,False,False,open_meteo_archive,83.2,89.3,8.2,18.6,202.0,,0.012,71.0,51.0,True
2022_NFL_W12_CHI_NYJ,2026-09-07T05:48:14.596215+00:00,2022-11-27T18:00:00+00:00,-33107.8,False,False,open_meteo_archive,49.9,44.2,9.0,14.5,179.0,,0.008,74.0,51.0,True
2022_NFL_W12_CIN_TEN,2026-09-07T05:48:14.871379+00:00,2022-11-27T18:00:00+00:00,-33107.8,False,False,open_meteo_archive,55.1,45.5,17.8,32.4,229.0,,0.0,60.0,3.0,True
2022_NFL_W12_ATL_WAS,2026-09-07T05:48:15.150130+00:00,2022-11-27T18:00:00+00:00,-33107.8,False,False,open_meteo_archive,52.8,49.6,9.6,20.4,177.0,,0.051,100.0,61.0,True
2022_NFL_W12_LAC_ARI,2026-09-07T05:48:15.433531+00:00,2022-11-27T21:05:00+00:00,-33104.7,False,True,open_meteo_archive,67.2,60.9,1.9,8.3,234.0,,0.0,15.0,0.0,True
2022_NFL_W12_LV_SEA,2026-09-07T05:48:15.733398+00:00,2022-11-27T21:05:00+00:00,-33104.7,False,False,open_meteo_archive,46.1,38.5,10.2,19.2,234.0,,0.0,66.0,1.0,True
2022_NFL_W12_LAR_KC,2026-09-07T05:48:16.007590+00:00,2022-11-27T21:25:00+00:00,-33104.4,False,False,open_meteo_archive,46.0,37.9,9.8,21.9,319.0,,0.0,57.0,3.0,True
2022_NFL_W12_NO_SF,2026-09-07T05:48:16.283944+00:00,2022-11-27T21:25:00+00:00,-33104.4,False,False,open_meteo_archive,64.0,59.9,3.4,8.5,278.0,,0.0,39.0,3.0,True
2022_NFL_W12_GB_PHI,2026-09-07T05:48:16.563878+00:00,2022-11-28T01:20:00+00:00,-33100.5,False,False,open_meteo_archive,60.4,54.8,18.8,33.3,243.0,,0.004,90.0,51.0,True
2022_NFL_W12_PIT_IND,2026-09-07T05:48:16.839395+00:00,2022-11-29T01:15:00+00:00,-33076.6,False,True,open_meteo_archive,43.8,38.2,6.1,10.3,176.0,,0.0,77.0,3.0,True
