injury_row_id,league,season,week,game_id,team_id,player_id,position,depth_slot,status,practice_status,injury_desc,report_date,source,entered_by,retrieved_at,effective_at
NFL_ARI_00-0034473_2021W01_OUT_DNP,NFL,2021,1,2021_NFL_W01_ARI_TEN,NFL_ARI,NFL_P_00-0034473,LB,,OUT,DNP,Knee,2021-09-11,nflverse,,2026-09-07T05:45:02.885579+00:00,2021-09-11T00:00:00
NFL_ARI_00-0035126_2021W01_OUT_DNP,NFL,2021,1,2021_NFL_W01_ARI_TEN,NFL_ARI,NFL_P_00-0035126,WR,,OUT,DNP,Illness,2021-09-11,nflverse,,2026-09-07T05:45:02.885579+00:00,2021-09-11T00:00:00
NFL_ATL_00-0031583_2021W01_NA_DNP,NFL,2021,1,2021_NFL_W01_PHI_ATL,NFL_ATL,NFL_P_00-0031583,DL,,UNKNOWN,DNP,Not injury related - personal matter,2021-09-11,nflverse,,2026-09-07T05:45:02.885579+00:00,2021-09-11T00:00:00
NFL_BAL_00-0031598_2021W01_NA_DNP,NFL,2021,1,2021_NFL_W01_BAL_LV,NFL_BAL,NFL_P_00-0031598,TE,,UNKNOWN,DNP,Knee,2021-09-13,nflverse,,2026-09-07T05:45:02.885579+00:00,2021-09-13T00:00:00
NFL_BAL_00-0026190_2021W01_NA_DNP,NFL,2021,1,2021_NFL_W01_BAL_LV,NFL_BAL,NFL_P_00-0026190,EDGE,,UNKNOWN,DNP,Not injury related - resting player,2021-09-13,nflverse,,2026-09-07T05:45:02.885579+00:00,2021-09-13T00:00:00
NFL_BAL_00-0032965_2021W01_NA_DNP,NFL,2021,1,2021_NFL_W01_BAL_LV,NFL_BAL,NFL_P_00-0032965,OL,,UNKNOWN,DNP,Not injury related - resting player,2021-09-13,nflverse,,2026-09-07T05:45:02.885579+00:00,2021-09-13T00:00:00
NFL_BAL_00-0030511_2021W01_NA_DNP,NFL,2021,1,2021_NFL_W01_BAL_LV,NFL_BAL,NFL_P_00-0030511,DL,,UNKNOWN,DNP,Not injury related - resting player,2021-09-13,nflverse,,2026-09-07T05:45:02.885579+00:00,2021-09-13T00:00:00
NFL_BAL_00-0034184_2021W01_NA_LP,NFL,2021,1,2021_NFL_W01_BAL_LV,NFL_BAL,NFL_P_00-0034184,RB,,UNKNOWN,LP,Knee,2021-09-13,nflverse,,2026-09-07T05:45:02.885579+00:00,2021-09-13T00:00:00
NFL_BAL_00-0032165_2021W01_NA_LP,NFL,2021,1,2021_NFL_W01_BAL_LV,NFL_BAL,NFL_P_00-0032165,CB,,UNKNOWN,LP,Knee,2021-09-13,nflverse,,2026-09-07T05:45:02.885579+00:00,2021-09-13T00:00:00
NFL_BAL_00-0029586_2021W01_OUT_DNP,NFL,2021,1,2021_NFL_W01_BAL_LV,NFL_BAL,NFL_P_00-0029586,EDGE,,OUT,DNP,Back,2021-09-13,nflverse,,2026-09-07T05:45:02.885579+00:00,2021-09-13T00:00:00
