injury_row_id,league,season,week,game_id,team_id,player_id,position,depth_slot,status,practice_status,injury_desc,report_date,source,entered_by,retrieved_at,effective_at
NFL_ARI_00-0027993_2022W01_NA_DNP,NFL,2022,1,2022_NFL_W01_KC_ARI,NFL_ARI,NFL_P_00-0027993,OL,,UNKNOWN,DNP,Not injury related - resting player,2022-09-10,nflverse,,2026-09-07T05:46:50.365367+00:00,2022-09-10T00:00:00
NFL_ARI_00-0035238_2022W01_OUT_DNP,NFL,2022,1,2022_NFL_W01_KC_ARI,NFL_ARI,NFL_P_00-0035238,OL,,OUT,DNP,Ankle,2022-09-10,nflverse,,2026-09-07T05:46:50.365367+00:00,2022-09-10T00:00:00
NFL_ARI_00-0036936_2022W01_OUT_DNP,NFL,2022,1,2022_NFL_W01_KC_ARI,NFL_ARI,NFL_P_00-0036936,WR,,OUT,DNP,Hamstring,2022-09-10,nflverse,,2026-09-07T05:46:50.365367+00:00,2022-09-10T00:00:00
NFL_ARI_00-0035695_2022W01_OUT_DNP,NFL,2022,1,2022_NFL_W01_KC_ARI,NFL_ARI,NFL_P_00-0035695,CB,,OUT,DNP,Toe,2022-09-10,nflverse,,2026-09-07T05:46:50.365367+00:00,2022-09-10T00:00:00
NFL_ARI_00-0035236_2022W01_QUESTIONABLE_DNP,NFL,2022,1,2022_NFL_W01_KC_ARI,NFL_ARI,NFL_P_00-0035236,CB,,QUESTIONABLE,DNP,Illness,2022-09-10,nflverse,,2026-09-07T05:46:50.365367+00:00,2022-09-10T00:00:00
NFL_ARI_00-0027949_2022W01_QUESTIONABLE_DNP,NFL,2022,1,2022_NFL_W01_KC_ARI,NFL_ARI,NFL_P_00-0027949,EDGE,,QUESTIONABLE,DNP,Calf,2022-09-10,nflverse,,2026-09-07T05:46:50.365367+00:00,2022-09-10T00:00:00
NFL_ARI_00-0030061_2022W01_QUESTIONABLE_LP,NFL,2022,1,2022_NFL_W01_KC_ARI,NFL_ARI,NFL_P_00-0030061,TE,,QUESTIONABLE,LP,Calf,2022-09-10,nflverse,,2026-09-07T05:46:50.365367+00:00,2022-09-10T00:00:00
NFL_ARI_00-0030585_2022W01_QUESTIONABLE_LP,NFL,2022,1,2022_NFL_W01_KC_ARI,NFL_ARI,NFL_P_00-0030585,OL,,QUESTIONABLE,LP,Neck,2022-09-10,nflverse,,2026-09-07T05:46:50.365367+00:00,2022-09-10T00:00:00
NFL_ATL_00-0035572_2022W01_NA_DNP,NFL,2022,1,2022_NFL_W01_NO_ATL,NFL_ATL,NFL_P_00-0035572,TE,,UNKNOWN,DNP,Not injury related - personal matter,2022-09-10,nflverse,,2026-09-07T05:46:50.365367+00:00,2022-09-10T00:00:00
NFL_ATL_00-0036956_2022W01_QUESTIONABLE_LP,NFL,2022,1,2022_NFL_W01_NO_ATL,NFL_ATL,NFL_P_00-0036956,CB,,QUESTIONABLE,LP,Quadricep,2022-09-10,nflverse,,2026-09-07T05:46:50.365367+00:00,2022-09-10T00:00:00
NFL_ATL_00-0037238_2022W01_QUESTIONABLE_LP,NFL,2022,1,2022_NFL_W01_NO_ATL,NFL_ATL,NFL_P_00-0037238,WR,,QUESTIONABLE,LP,Knee,2022-09-10,nflverse,,2026-09-07T05:46:50.365367+00:00,2022-09-10T00:00:00
NFL_BAL_00-0026190_2022W01_NA_DNP,NFL,2022,1,2022_NFL_W01_BAL_NYJ,NFL_BAL,NFL_P_00-0026190,EDGE,,UNKNOWN,DNP,Not injury related - resting player,2022-09-10,nflverse,,2026-09-07T05:46:50.365367+00:00,2022-09-10T00:00:00
NFL_BAL_00-0028008_2022W01_NA_DNP,NFL,2022,1,2022_NFL_W01_BAL_NYJ,NFL_BAL,NFL_P_00-0028008,LB,,UNKNOWN,DNP,Not injury related - resting player,2022-09-10,nflverse,,2026-09-07T05:46:50.365367+00:00,2022-09-10T00:00:00
NFL_BAL_00-0037756_2022W01_OUT_DNP,NFL,2022,1,2022_NFL_W01_BAL_NYJ,NFL_BAL,NFL_P_00-0037756,DL,,OUT,DNP,Knee,2022-09-10,nflverse,,2026-09-07T05:46:50.365367+00:00,2022-09-10T00:00:00
