injury_row_id,league,season,week,game_id,team_id,player_id,position,depth_slot,status,practice_status,injury_desc,report_date,source,entered_by,retrieved_at,effective_at
NFL_ARI_00-0029316_2023W01_OUT_DNP,NFL,2023,1,2023_NFL_W01_ARI_WAS,NFL_ARI,NFL_P_00-0029316,OL,,OUT,DNP,Hand,2023-09-09,nflverse,,2026-09-07T05:49:16.123275+00:00,2023-09-09T00:00:00
NFL_ARI_00-0035662_2023W01_QUESTIONABLE_LP,NFL,2023,1,2023_NFL_W01_ARI_WAS,NFL_ARI,NFL_P_00-0035662,WR,,QUESTIONABLE,LP,Hamstring,2023-09-09,nflverse,,2026-09-07T05:49:16.123275+00:00,2023-09-09T00:00:00
NFL_ARI_00-0030061_2023W01_QUESTIONABLE_LP,NFL,2023,1,2023_NFL_W01_ARI_WAS,NFL_ARI,NFL_P_00-0030061,TE,,QUESTIONABLE,LP,Knee,2023-09-09,nflverse,,2026-09-07T05:49:16.123275+00:00,2023-09-09T00:00:00
NFL_ATL_00-0033858_2023W01_NA_DNP,NFL,2023,1,2023_NFL_W01_CAR_ATL,NFL_ATL,NFL_P_00-0033858,TE,,UNKNOWN,DNP,Not injury related - resting player,2023-09-09,nflverse,,2026-09-07T05:49:16.123275+00:00,2023-09-09T00:00:00
NFL_ATL_00-0036274_2023W01_OUT_DNP,NFL,2023,1,2023_NFL_W01_CAR_ATL,NFL_ATL,NFL_P_00-0036274,CB,,OUT,DNP,Foot,2023-09-09,nflverse,,2026-09-07T05:49:16.123275+00:00,2023-09-09T00:00:00
NFL_ATL_00-0034854_2023W01_QUESTIONABLE_FP,NFL,2023,1,2023_NFL_W01_CAR_ATL,NFL_ATL,NFL_P_00-0034854,WR,,QUESTIONABLE,FP,Ankle,2023-09-09,nflverse,,2026-09-07T05:49:16.123275+00:00,2023-09-09T00:00:00
NFL_ATL_00-0030578_2023W01_QUESTIONABLE_LP,NFL,2023,1,2023_NFL_W01_CAR_ATL,NFL_ATL,NFL_P_00-0030578,RB,,QUESTIONABLE,LP,Thigh,2023-09-09,nflverse,,2026-09-07T05:49:16.123275+00:00,2023-09-09T00:00:00
NFL_BAL_00-0033281_2023W01_OUT_DNP,NFL,2023,1,2023_NFL_W01_HOU_BAL,NFL_BAL,NFL_P_00-0033281,CB,,OUT,DNP,Foot,2023-09-09,nflverse,,2026-09-07T05:49:16.123275+00:00,2023-09-09T00:00:00
NFL_BAL_00-0034753_2023W01_QUESTIONABLE_LP,NFL,2023,1,2023_NFL_W01_HOU_BAL,NFL_BAL,NFL_P_00-0034753,TE,,QUESTIONABLE,LP,Quadricep,2023-09-09,nflverse,,2026-09-07T05:49:16.123275+00:00,2023-09-09T00:00:00
NFL_CAR_00-0034777_2023W01_OUT_LP,NFL,2023,1,2023_NFL_W01_CAR_ATL,NFL_CAR,NFL_P_00-0034777,WR,,OUT,LP,Hamstring,2023-09-09,nflverse,,2026-09-07T05:49:16.123275+00:00,2023-09-09T00:00:00
