injury_row_id,league,season,week,game_id,team_id,player_id,position,depth_slot,status,practice_status,injury_desc,report_date,source,entered_by,retrieved_at,effective_at
NFL_ARI_00-0026190_2025W01_NA_DNP,NFL,2025,1,2025_NFL_W01_ARI_NO,NFL_ARI,NFL_P_00-0026190,EDGE,,UNKNOWN,DNP,Not injury related - resting player,2025-09-06,nflverse,,2026-09-07T05:54:30.586034+00:00,2025-09-06T00:00:00
NFL_ARI_00-0034346_2025W01_OUT_LP,NFL,2025,1,2025_NFL_W01_ARI_NO,NFL_ARI,NFL_P_00-0034346,OL,,OUT,LP,Knee,2025-09-06,nflverse,,2026-09-07T05:54:30.586034+00:00,2025-09-06T00:00:00
NFL_ARI_00-0038600_2025W01_QUESTIONABLE_LP,NFL,2025,1,2025_NFL_W01_ARI_NO,NFL_ARI,NFL_P_00-0038600,LB,,QUESTIONABLE,LP,Quadricep,2025-09-06,nflverse,,2026-09-07T05:54:30.586034+00:00,2025-09-06T00:00:00
NFL_ARI_00-0038623_2025W01_QUESTIONABLE_LP,NFL,2025,1,2025_NFL_W01_ARI_NO,NFL_ARI,NFL_P_00-0038623,DL,,QUESTIONABLE,LP,Heel,2025-09-06,nflverse,,2026-09-07T05:54:30.586034+00:00,2025-09-06T00:00:00
NFL_ATL_00-0031279_2025W01_NA_LP,NFL,2025,1,2025_NFL_W01_TB_ATL,NFL_ATL,NFL_P_00-0031279,OL,,UNKNOWN,LP,Not injury related - resting player,2025-09-06,nflverse,,2026-09-07T05:54:30.586034+00:00,2025-09-06T00:00:00
NFL_ATL_00-0033051_2025W01_NA_DNP,NFL,2025,1,2025_NFL_W01_TB_ATL,NFL_ATL,NFL_P_00-0033051,DL,,UNKNOWN,DNP,Not injury related - resting player,2025-09-06,nflverse,,2026-09-07T05:54:30.586034+00:00,2025-09-06T00:00:00
NFL_ATL_00-0033072_2025W01_NA_DNP,NFL,2025,1,2025_NFL_W01_TB_ATL,NFL_ATL,NFL_P_00-0033072,EDGE,,UNKNOWN,DNP,Not injury related - resting player,2025-09-06,nflverse,,2026-09-07T05:54:30.586034+00:00,2025-09-06T00:00:00
NFL_ATL_00-0034407_2025W01_NA_LP,NFL,2025,1,2025_NFL_W01_TB_ATL,NFL_ATL,NFL_P_00-0034407,WR,,UNKNOWN,LP,Not injury related - resting player,2025-09-06,nflverse,,2026-09-07T05:54:30.586034+00:00,2025-09-06T00:00:00
NFL_ATL_00-0036285_2025W01_NA_LP,NFL,2025,1,2025_NFL_W01_TB_ATL,NFL_ATL,NFL_P_00-0036285,CB,,UNKNOWN,LP,Not injury related - resting player,2025-09-06,nflverse,,2026-09-07T05:54:30.586034+00:00,2025-09-06T00:00:00
NFL_ATL_00-0036309_2025W01_QUESTIONABLE_LP,NFL,2025,1,2025_NFL_W01_TB_ATL,NFL_ATL,NFL_P_00-0036309,WR,,QUESTIONABLE,LP,Shoulder,2025-09-06,nflverse,,2026-09-07T05:54:30.586034+00:00,2025-09-06T00:00:00
