game_id,retrieved_at,forecast_for_utc,hours_to_kickoff,is_indoor,roof_status_unknown,source,temp_f,feels_like_f,wind_mph,wind_gust_mph,wind_dir_deg,precip_prob,precip_in,humidity_pct,condition_code,is_actual
2023_NFL_W03_NYG_SF,2026-09-07T05:50:11.236899+00:00,2023-09-22T00:15:00+00:00,-25949.6,False,False,open_meteo_archive,76.6,73.3,10.7,21.7,331.0,,0.0,45.0,0.0,True
2023_NFL_W03_IND_BAL,2026-09-07T05:50:11.523505+00:00,2023-09-24T17:00:00+00:00,-25884.8,False,False,open_meteo_archive,65.4,67.5,6.1,13.4,147.0,,0.039,93.0,55.0,True
2023_NFL_W03_TEN_CLE,2026-09-07T05:50:11.810550+00:00,2023-09-24T17:00:00+00:00,-25884.8,False,False,open_meteo_archive,62.6,58.3,15.0,19.7,35.0,,0.0,80.0,3.0,True
2023_NFL_W03_ATL_DET,2026-09-07T05:50:11.810893+00:00,2023-09-24T17:00:00+00:00,-25884.8,True,False,open_meteo_archive,,,,,,,,,,True
2023_NFL_W03_NO_GB,2026-09-07T05:50:12.105495+00:00,2023-09-24T17:00:00+00:00,-25884.8,False,False,open_meteo_archive,69.8,67.3,9.9,22.4,121.0,,0.0,56.0,3.0,True
2023_NFL_W03_HOU_JAX,2026-09-07T05:50:12.383577+00:00,2023-09-24T17:00:00+00:00,-25884.8,False,False,open_meteo_archive,85.8,90.2,5.2,13.0,205.0,,0.0,42.0,0.0,True
2023_NFL_W03_DEN_MIA,2026-09-07T05:50:12.695014+00:00,2023-09-24T17:00:00+00:00,-25884.8,False,False,open_meteo_archive,86.0,97.1,3.3,11.6,110.0,,0.004,65.0,51.0,True
2023_NFL_W03_LAC_MIN,2026-09-07T05:50:12.695386+00:00,2023-09-24T17:00:00+00:00,-25884.8,True,False,open_meteo_archive,,,,,,,,,,True
2023_NFL_W03_NE_NYJ,2026-09-07T05:50:12.981954+00:00,2023-09-24T17:00:00+00:00,-25884.8,False,False,open_meteo_archive,65.3,60.9,19.6,36.7,64.0,,0.004,87.0,51.0,True
2023_NFL_W03_BUF_WAS,2026-09-07T05:50:13.268895+00:00,2023-09-24T17:00:00+00:00,-25884.8,False,False,open_meteo_archive,66.0,69.6,2.0,7.4,153.0,,0.004,88.0,51.0,True
2023_NFL_W03_CAR_SEA,2026-09-07T05:50:13.561010+00:00,2023-09-24T20:05:00+00:00,-25881.8,False,False,open_meteo_archive,60.4,61.5,1.4,7.2,9.0,,0.0,83.0,3.0,True
2023_NFL_W03_DAL_ARI,2026-09-07T05:50:13.839882+00:00,2023-09-24T20:25:00+00:00,-25881.4,False,True,open_meteo_archive,95.7,96.0,2.8,10.3,288.0,,0.0,16.0,0.0,True
2023_NFL_W03_CHI_KC,2026-09-07T05:50:14.128855+00:00,2023-09-24T20:25:00+00:00,-25881.4,False,False,open_meteo_archive,79.6,81.0,5.5,13.6,328.0,,0.0,44.0,0.0,True
2023_NFL_W03_PIT_LV,2026-09-07T05:50:14.129205+00:00,2023-09-25T00:20:00+00:00,-25877.5,True,False,open_meteo_archive,,,,,,,,,,True
2023_NFL_W03_PHI_TB,2026-09-07T05:50:14.410276+00:00,2023-09-25T23:15:00+00:00,-25854.6,False,False,open_meteo_archive,79.3,86.5,5.0,8.7,72.0,,0.0,79.0,2.0,True
2023_NFL_W03_LAR_CIN,2026-09-07T05:50:14.710103+00:00,2023-09-26T00:15:00+00:00,-25853.6,False,False,open_meteo_archive,68.5,68.6,5.7,14.1,99.0,,0.0,69.0,0.0,True
