game_id,retrieved_at,forecast_for_utc,hours_to_kickoff,is_indoor,roof_status_unknown,source,temp_f,feels_like_f,wind_mph,wind_gust_mph,wind_dir_deg,precip_prob,precip_in,humidity_pct,condition_code,is_actual
2023_NFL_W01_DET_KC,2026-09-07T05:50:03.332398+00:00,2023-09-08T00:20:00+00:00,-26285.5,False,False,open_meteo_archive,77.8,75.8,6.9,11.6,75.0,,0.0,42.0,0.0,True
2023_NFL_W01_CAR_ATL,2026-09-07T05:50:03.625935+00:00,2023-09-10T17:00:00+00:00,-26220.8,False,True,open_meteo_archive,80.4,88.3,1.5,11.4,63.0,,0.0,68.0,3.0,True
2023_NFL_W01_HOU_BAL,2026-09-07T05:50:03.909434+00:00,2023-09-10T17:00:00+00:00,-26220.8,False,False,open_meteo_archive,72.4,77.7,3.7,10.7,213.0,,0.031,86.0,53.0,True
2023_NFL_W01_CIN_CLE,2026-09-07T05:50:04.197726+00:00,2023-09-10T17:00:00+00:00,-26220.8,False,False,open_meteo_archive,68.4,68.8,7.6,10.7,328.0,,0.0,77.0,3.0,True
2023_NFL_W01_JAX_IND,2026-09-07T05:50:04.482763+00:00,2023-09-10T17:00:00+00:00,-26220.8,False,True,open_meteo_archive,72.1,73.3,4.1,12.8,61.0,,0.0,62.0,3.0,True
2023_NFL_W01_TB_MIN,2026-09-07T05:50:04.483117+00:00,2023-09-10T17:00:00+00:00,-26220.8,True,False,open_meteo_archive,,,,,,,,,,True
2023_NFL_W01_TEN_NO,2026-09-07T05:50:04.483431+00:00,2023-09-10T17:00:00+00:00,-26220.8,True,False,open_meteo_archive,,,,,,,,,,True
2023_NFL_W01_SF_PIT,2026-09-07T05:50:04.788464+00:00,2023-09-10T17:00:00+00:00,-26220.8,False,False,open_meteo_archive,71.3,74.4,5.6,13.9,337.0,,0.004,80.0,51.0,True
2023_NFL_W01_ARI_WAS,2026-09-07T05:50:05.078447+00:00,2023-09-10T17:00:00+00:00,-26220.8,False,False,open_meteo_archive,71.9,79.6,0.7,9.2,198.0,,0.024,94.0,53.0,True
2023_NFL_W01_GB_CHI,2026-09-07T05:50:05.366150+00:00,2023-09-10T20:25:00+00:00,-26217.4,False,False,open_meteo_archive,73.7,74.3,8.7,16.3,103.0,,0.0,60.0,0.0,True
2023_NFL_W01_LV_DEN,2026-09-07T05:50:05.650618+00:00,2023-09-10T20:25:00+00:00,-26217.4,False,False,open_meteo_archive,70.0,66.9,7.4,21.5,21.0,,0.0,49.0,2.0,True
2023_NFL_W01_MIA_LAC,2026-09-07T05:50:05.650976+00:00,2023-09-10T20:25:00+00:00,-26217.4,True,False,open_meteo_archive,,,,,,,,,,True
2023_NFL_W01_PHI_NE,2026-09-07T05:50:05.932377+00:00,2023-09-10T20:25:00+00:00,-26217.4,False,False,open_meteo_archive,72.9,80.9,1.5,8.7,117.0,,0.02,95.0,53.0,True
2023_NFL_W01_LAR_SEA,2026-09-07T05:50:06.221794+00:00,2023-09-10T20:25:00+00:00,-26217.4,False,False,open_meteo_archive,74.6,72.8,8.3,16.6,183.0,,0.0,50.0,3.0,True
2023_NFL_W01_DAL_NYG,2026-09-07T05:50:06.508450+00:00,2023-09-11T00:20:00+00:00,-26213.5,False,False,open_meteo_archive,70.7,76.3,4.2,9.8,335.0,,0.0,94.0,3.0,True
2023_NFL_W01_BUF_NYJ,2026-09-07T05:50:06.804227+00:00,2023-09-12T00:15:00+00:00,-26189.6,False,False,open_meteo_archive,72.5,79.8,1.9,11.4,54.0,,0.004,93.0,51.0,True
