game_id,retrieved_at,forecast_for_utc,hours_to_kickoff,is_indoor,roof_status_unknown,source,temp_f,feels_like_f,wind_mph,wind_gust_mph,wind_dir_deg,precip_prob,precip_in,humidity_pct,condition_code,is_actual
2025_NFL_W18_NO_ATL,2026-09-07T05:55:57.787467+00:00,2026-01-04T18:00:00+00:00,-5891.9,False,True,open_meteo_archive,56.8,54.2,2.8,12.8,313.0,,0.0,60.0,0.0,True
2025_NFL_W18_NYJ_BUF,2026-09-07T05:55:58.138515+00:00,2026-01-04T21:25:00+00:00,-5888.5,False,False,open_meteo_archive,26.8,17.1,10.8,21.9,276.0,,0.004,81.0,71.0,True
2025_NFL_W18_DET_CHI,2026-09-07T05:55:58.508248+00:00,2026-01-04T21:25:00+00:00,-5888.5,False,False,open_meteo_archive,30.9,23.1,5.6,13.4,160.0,,0.0,59.0,3.0,True
2025_NFL_W18_CLE_CIN,2026-09-07T05:55:58.858279+00:00,2026-01-04T18:00:00+00:00,-5891.9,False,False,open_meteo_archive,35.0,29.2,0.7,8.1,261.0,,0.0,50.0,1.0,True
2025_NFL_W18_LAC_DEN,2026-09-07T05:55:59.208409+00:00,2026-01-04T21:25:00+00:00,-5888.5,False,False,open_meteo_archive,67.2,60.3,2.4,8.7,175.0,,0.0,12.0,2.0,True
2025_NFL_W18_IND_HOU,2026-09-07T05:55:59.561771+00:00,2026-01-04T18:00:00+00:00,-5891.9,False,True,open_meteo_archive,63.0,60.8,4.0,14.5,104.0,,0.0,55.0,0.0,True
2025_NFL_W18_TEN_JAX,2026-09-07T05:55:59.912308+00:00,2026-01-04T18:00:00+00:00,-5891.9,False,False,open_meteo_archive,55.4,52.0,8.1,19.2,39.0,,0.0,81.0,3.0,True
2025_NFL_W18_ARI_LAR,2026-09-07T05:55:59.912689+00:00,2026-01-04T21:25:00+00:00,-5888.5,True,False,open_meteo_archive,,,,,,,,,,True
2025_NFL_W18_KC_LV,2026-09-07T05:55:59.912981+00:00,2026-01-04T21:25:00+00:00,-5888.5,True,False,open_meteo_archive,,,,,,,,,,True
2025_NFL_W18_GB_MIN,2026-09-07T05:55:59.913257+00:00,2026-01-04T18:00:00+00:00,-5891.9,True,False,open_meteo_archive,,,,,,,,,,True
2025_NFL_W18_MIA_NE,2026-09-07T05:56:00.281048+00:00,2026-01-04T21:25:00+00:00,-5888.5,False,False,open_meteo_archive,27.9,19.4,6.6,17.9,302.0,,0.0,62.0,3.0,True
2025_NFL_W18_DAL_NYG,2026-09-07T05:56:00.638068+00:00,2026-01-04T18:00:00+00:00,-5891.9,False,False,open_meteo_archive,32.8,24.7,6.5,14.8,319.0,,0.0,58.0,2.0,True
2025_NFL_W18_WAS_PHI,2026-09-07T05:56:00.987710+00:00,2026-01-04T21:25:00+00:00,-5888.5,False,False,open_meteo_archive,34.1,26.3,5.9,16.8,318.0,,0.0,56.0,0.0,True
2025_NFL_W18_BAL_PIT,2026-09-07T05:56:01.342946+00:00,2026-01-05T01:20:00+00:00,-5884.6,False,False,open_meteo_archive,26.1,20.9,0.0,3.1,270.0,,0.0,83.0,3.0,True
2025_NFL_W18_SEA_SF,2026-09-07T05:56:01.713403+00:00,2026-01-04T01:00:00+00:00,-5908.9,False,False,open_meteo_archive,57.5,55.1,7.0,15.9,147.0,,0.004,82.0,51.0,True
2025_NFL_W18_CAR_TB,2026-09-07T05:56:02.063726+00:00,2026-01-03T21:30:00+00:00,-5912.4,False,False,open_meteo_archive,68.9,70.1,7.5,20.1,222.0,,0.031,80.0,53.0,True
