prediction_id,game_id,model_version,predicted_at,is_pregame_final,is_backtest,as_of_ts,proj_away_pts,proj_home_pts,proj_margin_home,proj_total,win_prob_home,margin_sd,market_spread_home,market_total,spread_diff,total_diff,qb_home_id,qb_away_id,data_quality,quality_flags,contributions,inputs_hash,baseline_ratings_margin,baseline_hfa_margin,train_seasons,in_sample_warning,season,week,margin_home,total,home_field,close_spread_home,close_total,margin_error,abs_margin_error,total_error,abs_total_error,winner_correct,favorite_side,market_margin,market_abs_error,market_winner_correct,model_side_home,model_ats_result,model_ou_side_over,model_ou_result,edge_vs_market,baseline_ratings_abs_error,baseline_hfa_abs_error,win_prob_bin,home_won
2021_NFL_W01_ARI_TEN_NFL_v1.0_2026-09-07T04:35:01.031658+00:00,2021_NFL_W01_ARI_TEN,NFL_v1.0,2026-09-07T04:35:01.031658+00:00,False,True,2021-09-12 17:00:00+00:00,21.32,23.47,2.16,44.79,0.5666,12.86,,,,,,,0.077,FEATURES_IMPUTED,[],,2.1834539256858574,2.185118026331302,"2022,2023,2024,2025",True,2021,1,-25,51,1.0,-2.5,54.0,27.16,27.16,-6.210000000000001,6.210000000000001,0.0,HOME,2.5,27.5,0.0,False,WIN,False,WIN,0.33999999999999986,27.183453925685857,27.185118026331303,5,False
2021_NFL_W01_BAL_LV_NFL_v1.0_2026-09-07T04:35:01.031658+00:00,2021_NFL_W01_BAL_LV,NFL_v1.0,2026-09-07T04:35:01.031658+00:00,False,True,2021-09-14 00:15:00+00:00,21.32,23.47,2.16,44.79,0.5666,12.86,,,,,,,0.077,FEATURES_IMPUTED,[],,2.1834539256858574,2.185118026331302,"2022,2023,2024,2025",True,2021,1,6,60,1.0,3.0,50.5,-3.84,3.84,-15.21,15.21,1.0,AWAY,-3.0,9.0,0.0,True,WIN,False,LOSS,5.16,3.8165460743141426,3.814881973668698,5,True
2021_NFL_W01_CHI_LAR_NFL_v1.0_2026-09-07T04:35:01.031658+00:00,2021_NFL_W01_CHI_LAR,NFL_v1.0,2026-09-07T04:35:01.031658+00:00,False,True,2021-09-13 00:20:00+00:00,21.32,23.47,2.16,44.79,0.5666,12.86,,,,,,,0.077,FEATURES_IMPUTED,[],,2.1834539256858574,2.185118026331302,"2022,2023,2024,2025",True,2021,1,20,48,1.0,-9.5,46.0,-17.84,17.84,-3.210000000000001,3.210000000000001,1.0,HOME,9.5,10.5,1.0,False,LOSS,False,LOSS,7.34,17.816546074314143,17.814881973668697,5,True
2021_NFL_W01_CLE_KC_NFL_v1.0_2026-09-07T04:35:01.031658+00:00,2021_NFL_W01_CLE_KC,NFL_v1.0,2026-09-07T04:35:01.031658+00:00,False,True,2021-09-12 20:25:00+00:00,21.32,23.47,2.16,44.79,0.5666,12.86,,,,,,,0.077,FEATURES_IMPUTED,[],,2.1834539256858574,2.185118026331302,"2022,2023,2024,2025",True,2021,1,4,62,1.0,-5.5,54.5,-1.8399999999999999,1.8399999999999999,-17.21,17.21,1.0,HOME,5.5,1.5,1.0,False,WIN,False,LOSS,3.34,1.8165460743141426,1.8148819736686979,5,True
2021_NFL_W01_DAL_TB_NFL_v1.0_2026-09-07T04:35:01.031658+00:00,2021_NFL_W01_DAL_TB,NFL_v1.0,2026-09-07T04:35:01.031658+00:00,False,True,2021-09-10 00:20:00+00:00,21.32,23.47,2.16,44.79,0.5666,12.86,,,,,,,0.077,FEATURES_IMPUTED,[],,2.1834539256858574,2.185118026331302,"2022,2023,2024,2025",True,2021,1,2,60,1.0,-10.0,52.5,0.16000000000000014,0.16000000000000014,-15.21,15.21,1.0,HOME,10.0,8.0,1.0,False,WIN,False,LOSS,7.84,0.1834539256858574,0.18511802633130214,5,True
2021_NFL_W01_DEN_NYG_NFL_v1.0_2026-09-07T04:35:01.031658+00:00,2021_NFL_W01_DEN_NYG,NFL_v1.0,2026-09-07T04:35:01.031658+00:00,False,True,2021-09-12 20:25:00+00:00,21.32,23.47,2.16,44.79,0.5666,12.86,,,,,,,0.077,FEATURES_IMPUTED,[],,2.1834539256858574,2.185118026331302,"2022,2023,2024,2025",True,2021,1,-14,40,1.0,3.0,41.5,16.16,16.16,4.789999999999999,4.789999999999999,0.0,AWAY,-3.0,11.0,1.0,True,LOSS,True,LOSS,5.16,16.183453925685857,16.185118026331303,5,False
2021_NFL_W01_GB_NO_NFL_v1.0_2026-09-07T04:35:01.031658+00:00,2021_NFL_W01_GB_NO,NFL_v1.0,2026-09-07T04:35:01.031658+00:00,False,True,2021-09-12 20:25:00+00:00,21.67,23.12,1.45,44.79,0.5448,12.86,,,,,,,0.077,FEATURES_IMPUTED,"[{""category"": ""home_field"", ""points"": -0.69}]",,0.6002183943586175,0.5232356514562924,"2022,2023,2024,2025",True,2021,1,35,41,0.0,4.0,49.0,-33.55,33.55,3.789999999999999,3.789999999999999,1.0,AWAY,-4.0,39.0,0.0,True,WIN,False,WIN,5.45,34.39978160564138,34.47676434854371,5,True
2021_NFL_W01_JAX_HOU_NFL_v1.0_2026-09-07T04:35:01.031658+00:00,2021_NFL_W01_JAX_HOU,NFL_v1.0,2026-09-07T04:35:01.031658+00:00,False,True,2021-09-12 17:00:00+00:00,21.32,23.47,2.16,44.79,0.5666,12.86,,,,,,,0.077,FEATURES_IMPUTED,[],,2.1834539256858574,2.185118026331302,"2022,2023,2024,2025",True,2021,1,16,58,1.0,3.5,45.5,-13.84,13.84,-13.21,13.21,1.0,AWAY,-3.5,19.5,0.0,True,WIN,False,LOSS,5.66,13.816546074314143,13.814881973668697,5,True
2021_NFL_W01_LAC_WAS_NFL_v1.0_2026-09-07T04:35:01.031658+00:00,2021_NFL_W01_LAC_WAS,NFL_v1.0,2026-09-07T04:35:01.031658+00:00,False,True,2021-09-12 17:00:00+00:00,21.32,23.47,2.16,44.79,0.5666,12.86,,,,,,,0.077,FEATURES_IMPUTED,[],,2.1834539256858574,2.185118026331302,"2022,2023,2024,2025",True,2021,1,-4,36,1.0,-2.5,45.5,6.16,6.16,8.79,8.79,0.0,HOME,2.5,6.5,0.0,False,WIN,False,WIN,0.33999999999999986,6.183453925685857,6.185118026331303,5,False
2021_NFL_W01_MIA_NE_NFL_v1.0_2026-09-07T04:35:01.031658+00:00,2021_NFL_W01_MIA_NE,NFL_v1.0,2026-09-07T04:35:01.031658+00:00,False,True,2021-09-12 20:25:00+00:00,21.32,23.47,2.16,44.79,0.5666,12.86,,,,,,,0.077,FEATURES_IMPUTED,[],,2.1834539256858574,2.185118026331302,"2022,2023,2024,2025",True,2021,1,-1,33,1.0,-3.5,43.5,3.16,3.16,11.79,11.79,0.0,HOME,3.5,4.5,0.0,False,WIN,True,LOSS,1.3399999999999999,3.1834539256858574,3.185118026331302,5,False
