game_id,retrieved_at,forecast_for_utc,hours_to_kickoff,is_indoor,roof_status_unknown,source,temp_f,feels_like_f,wind_mph,wind_gust_mph,wind_dir_deg,precip_prob,precip_in,humidity_pct,condition_code,is_actual
2025_CFB_W03_NCSU_WAKE,2026-09-07T06:01:41.444566+00:00,2025-09-11T23:30:00+00:00,-8646.5,False,False,open_meteo_archive,73.3,75.3,2.8,10.3,56.0,,0.0,62.0,0.0,True
2025_CFB_W03_FCS282_IU,2026-09-07T06:01:41.708916+00:00,2025-09-12T22:30:00+00:00,-8623.5,False,False,open_meteo_archive,84.4,82.8,4.7,13.6,226.0,,0.0,32.0,0.0,True
2025_CFB_W03_FCS2142_SYR,2026-09-07T06:01:41.709251+00:00,2025-09-12T23:00:00+00:00,-8623.0,True,False,open_meteo_archive,,,,,,,,,,True
2025_CFB_W03_COLO_HOU,2026-09-07T06:01:41.976650+00:00,2025-09-12T23:30:00+00:00,-8622.5,False,False,open_meteo_archive,87.3,90.9,6.5,17.0,128.0,,0.0,51.0,0.0,True
2025_CFB_W03_KSU_ARIZ,2026-09-07T06:01:42.227775+00:00,2025-09-13T01:00:00+00:00,-8621.0,False,False,open_meteo_archive,90.0,89.9,4.8,11.2,198.0,,0.0,32.0,0.0,True
2025_CFB_W03_UNM_UCLA,2026-09-07T06:01:42.498296+00:00,2025-09-13T02:00:00+00:00,-8620.0,False,False,open_meteo_archive,72.1,73.4,5.0,15.9,234.0,,0.0,66.0,0.0,True
2025_CFB_W03_CMU_MICH,2026-09-07T06:01:42.750760+00:00,2025-09-13T16:00:00+00:00,-8606.0,False,False,open_meteo_archive,65.1,64.4,5.9,10.3,176.0,,0.0,72.0,3.0,True
2025_CFB_W03_FCS119_MD,2026-09-07T06:01:43.038603+00:00,2025-09-13T16:00:00+00:00,-8606.0,False,False,open_meteo_archive,77.0,79.1,3.9,12.5,215.0,,0.0,47.0,0.0,True
2025_CFB_W03_ORE_NU,2026-09-07T06:01:43.306443+00:00,2025-09-13T16:00:00+00:00,-8606.0,False,False,open_meteo_archive,68.3,69.2,8.5,20.4,146.0,,0.0,82.0,3.0,True
2025_CFB_W03_OU_TEM,2026-09-07T06:01:43.565929+00:00,2025-09-13T16:00:00+00:00,-8606.0,False,False,open_meteo_archive,79.0,82.0,3.0,12.5,234.0,,0.0,47.0,1.0,True
2025_CFB_W03_MEM_TROY,2026-09-07T06:01:43.825757+00:00,2025-09-13T16:00:00+00:00,-8606.0,False,False,open_meteo_archive,82.8,84.5,6.4,16.1,71.0,,0.0,43.0,0.0,True
2025_CFB_W03_FCS2729_UVA,2026-09-07T06:01:44.096047+00:00,2025-09-13T16:00:00+00:00,-8606.0,False,False,open_meteo_archive,75.9,77.4,4.6,12.8,225.0,,0.0,47.0,0.0,True
2025_CFB_W03_FCS2277_NEB,2026-09-07T06:01:44.348799+00:00,2025-09-13T16:00:00+00:00,-8606.0,False,False,open_meteo_archive,80.2,82.4,9.8,20.4,206.0,,0.0,63.0,0.0,True
2025_CFB_W03_FCS2535_BAY,2026-09-07T06:01:44.610659+00:00,2025-09-13T16:00:00+00:00,-8606.0,False,False,open_meteo_archive,83.9,88.8,5.3,13.9,173.0,,0.0,57.0,1.0,True
