game_id,retrieved_at,forecast_for_utc,hours_to_kickoff,is_indoor,roof_status_unknown,source,temp_f,feels_like_f,wind_mph,wind_gust_mph,wind_dir_deg,precip_prob,precip_in,humidity_pct,condition_code,is_actual
2025_CFB_W05_ARMY_ECU,2026-09-07T06:02:16.861008+00:00,2025-09-25T23:30:00+00:00,-8310.5,False,False,open_meteo_archive,81.9,88.0,7.0,16.3,197.0,,0.0,72.0,0.0,True
2025_CFB_W05_FSU_UVA,2026-09-07T06:02:17.140741+00:00,2025-09-26T23:00:00+00:00,-8287.0,False,False,open_meteo_archive,72.8,79.5,1.9,8.9,173.0,,0.004,88.0,51.0,True
2025_CFB_W05_TCU_ASU,2026-09-07T06:02:17.429140+00:00,2025-09-27T01:00:00+00:00,-8285.0,False,False,open_meteo_archive,73.4,74.2,8.3,24.4,63.0,,0.016,68.0,51.0,True
2025_CFB_W05_HOU_ORST,2026-09-07T06:02:17.714298+00:00,2025-09-27T02:30:00+00:00,-8283.5,False,False,open_meteo_archive,67.6,62.2,6.6,17.0,4.0,,0.0,35.0,1.0,True
2025_CFB_W05_BGSU_OHIO,2026-09-07T06:02:17.974921+00:00,2025-09-27T16:00:00+00:00,-8270.0,False,False,open_meteo_archive,76.3,78.5,3.8,11.0,14.0,,0.0,55.0,0.0,True
2025_CFB_W05_USA_UNT,2026-09-07T06:02:18.263681+00:00,2025-09-27T16:00:00+00:00,-8270.0,False,False,open_meteo_archive,79.8,81.3,4.3,12.1,173.0,,0.0,49.0,0.0,True
2025_CFB_W05_GT_WAKE,2026-09-07T06:02:18.524124+00:00,2025-09-27T16:00:00+00:00,-8270.0,False,False,open_meteo_archive,71.2,77.6,0.8,5.6,56.0,,0.004,89.0,51.0,True
2025_CFB_W05_DUKE_SYR,2026-09-07T06:02:18.524477+00:00,2025-09-27T16:00:00+00:00,-8270.0,True,False,open_meteo_archive,,,,,,,,,,True
2025_CFB_W05_UCF_KSU,2026-09-07T06:02:18.785046+00:00,2025-09-27T16:00:00+00:00,-8270.0,False,False,open_meteo_archive,73.9,74.4,5.1,13.9,238.0,,0.0,58.0,0.0,True
2025_CFB_W05_CIN_KU,2026-09-07T06:02:19.052443+00:00,2025-09-27T16:00:00+00:00,-8270.0,False,False,open_meteo_archive,74.4,76.1,5.7,14.1,198.0,,0.0,65.0,1.0,True
2025_CFB_W05_USC_ILL,2026-09-07T06:02:19.348526+00:00,2025-09-27T16:00:00+00:00,-8270.0,False,False,open_meteo_archive,78.2,79.3,1.8,8.9,256.0,,0.0,44.0,0.0,True
2025_CFB_W05_RUTG_MINN,2026-09-07T06:02:19.633545+00:00,2025-09-27T16:00:00+00:00,-8270.0,False,False,open_meteo_archive,65.2,61.5,7.4,20.8,342.0,,0.0,53.0,0.0,True
2025_CFB_W05_LOU_PITT,2026-09-07T06:02:19.901807+00:00,2025-09-27T16:00:00+00:00,-8270.0,False,False,open_meteo_archive,73.5,76.1,2.6,9.4,83.0,,0.0,64.0,3.0,True
2025_CFB_W05_ND_ARK,2026-09-07T06:02:20.172570+00:00,2025-09-27T16:00:00+00:00,-8270.0,False,False,open_meteo_archive,73.9,77.5,1.3,6.7,218.0,,0.0,64.0,1.0,True
2025_CFB_W05_USU_VAN,2026-09-07T06:02:20.452104+00:00,2025-09-27T16:45:00+00:00,-8269.3,False,False,open_meteo_archive,75.8,79.9,3.4,10.5,354.0,,0.0,66.0,0.0,True
2025_CFB_W05_EMU_CMU,2026-09-07T06:02:20.714005+00:00,2025-09-27T17:00:00+00:00,-8269.0,False,False,open_meteo_archive,76.1,78.3,6.2,15.0,241.0,,0.0,59.0,0.0,True
