prediction_id,game_id,model_version,predicted_at,is_pregame_final,is_backtest,as_of_ts,proj_away_pts,proj_home_pts,proj_margin_home,proj_total,win_prob_home,margin_sd,market_spread_home,market_total,spread_diff,total_diff,qb_home_id,qb_away_id,data_quality,quality_flags,contributions,inputs_hash,baseline_ratings_margin,baseline_hfa_margin,train_seasons,in_sample_warning,season,week,margin_home,total,home_field,close_spread_home,close_total,margin_error,abs_margin_error,total_error,abs_total_error,winner_correct,favorite_side,market_margin,market_abs_error,market_winner_correct,model_side_home,model_ats_result,model_ou_side_over,model_ou_result,edge_vs_market,baseline_ratings_abs_error,baseline_hfa_abs_error,win_prob_bin,home_won
2021_CFB_W01_ECU_APP_CFB_v1.0_2026-09-10T18:46:45.081682+00:00,2021_CFB_W01_ECU_APP,CFB_v1.0,2026-09-10T18:46:45.081682+00:00,False,True,2021-09-02 23:30:00+00:00,23.62,30.28,6.65,53.9,0.672,15.8,,,,,,,0.154,FEATURES_IMPUTED,"[{""category"": ""TALENT"", ""points"": 2.01}, {""category"": ""home_field"", ""points"": 0.08}]",,4.687135898935641,4.771805988233972,"2022,2023,2024,2025",True,2021,1,14.0,52.0,1.0,-9.0,55.5,-7.35,7.35,1.8999999999999986,1.8999999999999986,1.0,HOME,9.0,5.0,1.0,False,LOSS,False,WIN,2.3499999999999996,9.31286410106436,9.228194011766028,6,True
2021_CFB_W01_FAU_FLA_CFB_v1.0_2026-09-10T18:46:45.081682+00:00,2021_CFB_W01_FAU_FLA,CFB_v1.0,2026-09-10T18:46:45.081682+00:00,False,True,2021-09-04 23:30:00+00:00,21.41,32.45,11.03,53.86,0.7668,15.8,,,,,,,0.154,FEATURES_IMPUTED,"[{""category"": ""TALENT"", ""points"": 6.38}, {""category"": ""home_field"", ""points"": 0.08}]",,4.687135898935641,4.771805988233972,"2022,2023,2024,2025",True,2021,1,21.0,49.0,1.0,-23.5,52.0,-9.97,9.97,4.859999999999999,4.859999999999999,1.0,HOME,23.5,2.5,1.0,False,WIN,True,LOSS,12.47,16.31286410106436,16.22819401176603,7,True
2021_CFB_W01_FRES_ORE_CFB_v1.0_2026-09-10T18:46:45.081682+00:00,2021_CFB_W01_FRES_ORE,CFB_v1.0,2026-09-10T18:46:45.081682+00:00,False,True,2021-09-04 18:00:00+00:00,18.96,29.89,10.93,48.85,0.7648,15.8,,,,,,,0.154,FEATURES_IMPUTED,"[{""category"": ""TALENT"", ""points"": 6.28}, {""category"": ""home_field"", ""points"": 0.08}]",,4.687135898935641,4.771805988233972,"2022,2023,2024,2025",True,2021,1,7.0,55.0,1.0,-19.5,63.0,3.9299999999999997,3.9299999999999997,-6.149999999999999,6.149999999999999,1.0,HOME,19.5,12.5,1.0,False,WIN,False,WIN,8.57,2.312864101064359,2.2281940117660284,7,True
2021_CFB_W01_HAW_UCLA_CFB_v1.0_2026-09-10T18:46:45.081682+00:00,2021_CFB_W01_HAW_UCLA,CFB_v1.0,2026-09-10T18:46:45.081682+00:00,False,True,2021-08-28 19:30:00+00:00,19.92,33.8,13.88,53.72,0.8173,15.8,,,,,,,0.154,FEATURES_IMPUTED,"[{""category"": ""TALENT"", ""points"": 9.23}, {""category"": ""home_field"", ""points"": 0.08}]",,4.687135898935641,4.771805988233972,"2022,2023,2024,2025",True,2021,1,34.0,54.0,1.0,-17.5,67.0,-20.119999999999997,20.119999999999997,-0.28000000000000114,0.28000000000000114,1.0,HOME,17.5,16.5,1.0,False,LOSS,False,WIN,3.619999999999999,29.31286410106436,29.22819401176603,8,True
2021_CFB_W01_IU_IOWA_CFB_v1.0_2026-09-10T18:46:45.081682+00:00,2021_CFB_W01_IU_IOWA,CFB_v1.0,2026-09-10T18:46:45.081682+00:00,False,True,2021-09-04 19:30:00+00:00,22.89,30.05,7.16,52.94,0.684,15.8,,,,,,,0.154,FEATURES_IMPUTED,"[{""category"": ""TALENT"", ""points"": 2.51}, {""category"": ""home_field"", ""points"": 0.08}]",,4.687135898935641,4.771805988233972,"2022,2023,2024,2025",True,2021,1,28.0,40.0,1.0,-3.5,45.5,-20.84,20.84,12.939999999999998,12.939999999999998,1.0,HOME,3.5,24.5,1.0,True,WIN,True,LOSS,3.66,23.31286410106436,23.22819401176603,6,True
2021_CFB_W01_KENT_TAM_CFB_v1.0_2026-09-10T18:46:45.081682+00:00,2021_CFB_W01_KENT_TAM,CFB_v1.0,2026-09-10T18:46:45.081682+00:00,False,True,2021-09-05 00:00:00+00:00,19.26,34.47,15.21,53.73,0.8377,15.8,,,,,,,0.154,FEATURES_IMPUTED,"[{""category"": ""TALENT"", ""points"": 10.56}, {""category"": ""home_field"", ""points"": 0.08}]",,4.687135898935641,4.771805988233972,"2022,2023,2024,2025",True,2021,1,31.0,51.0,1.0,-29.5,66.0,-15.79,15.79,2.729999999999997,2.729999999999997,1.0,HOME,29.5,1.5,1.0,False,LOSS,False,WIN,14.29,26.31286410106436,26.22819401176603,8,True
2021_CFB_W01_LOU_MISS_CFB_v1.0_2026-09-10T18:46:45.081682+00:00,2021_CFB_W01_LOU_MISS,CFB_v1.0,2026-09-10T18:46:45.081682+00:00,False,True,2021-09-07 00:00:00+00:00,25.79,29.26,3.46,55.05,0.5921,15.8,,,,,,,0.154,FEATURES_IMPUTED,"[{""category"": ""home_field"", ""points"": -2.5}, {""category"": ""TALENT"", ""points"": 1.4}]",,1.424230854571808,-1.0688328858790435,"2022,2023,2024,2025",True,2021,1,19.0,67.0,0.0,-9.0,74.5,-15.54,15.54,-11.950000000000003,11.950000000000003,1.0,HOME,9.0,10.0,1.0,False,LOSS,False,WIN,5.54,17.575769145428193,20.068832885879043,5,True
2021_CFB_W01_LSU_UCLA_CFB_v1.0_2026-09-10T18:46:45.081682+00:00,2021_CFB_W01_LSU_UCLA,CFB_v1.0,2026-09-10T18:46:45.081682+00:00,False,True,2021-09-05 00:30:00+00:00,24.82,26.28,1.46,51.1,0.5391,15.8,,,,,,,0.154,FEATURES_IMPUTED,"[{""category"": ""TALENT"", ""points"": -3.19}, {""category"": ""home_field"", ""points"": 0.08}]",,4.687135898935641,4.771805988233972,"2022,2023,2024,2025",True,2021,1,11.0,65.0,1.0,2.0,63.5,-9.54,9.54,-13.899999999999999,13.899999999999999,1.0,AWAY,-2.0,13.0,0.0,True,WIN,False,LOSS,3.46,6.312864101064359,6.228194011766028,5,True
2021_CFB_W01_LT_MSST_CFB_v1.0_2026-09-10T18:46:45.081682+00:00,2021_CFB_W01_LT_MSST,CFB_v1.0,2026-09-10T18:46:45.081682+00:00,False,True,2021-09-04 20:00:00+00:00,20.23,33.9,13.68,54.13,0.814,15.8,,,,,,,0.154,FEATURES_IMPUTED,"[{""category"": ""TALENT"", ""points"": 9.03}, {""category"": ""home_field"", ""points"": 0.08}]",,4.687135898935641,4.771805988233972,"2022,2023,2024,2025",True,2021,1,1.0,69.0,1.0,-20.5,53.0,12.68,12.68,-14.869999999999997,14.869999999999997,1.0,HOME,20.5,19.5,1.0,False,WIN,True,WIN,6.82,3.687135898935641,3.7718059882339716,8,True
2021_CFB_W01_MASS_PITT_CFB_v1.0_2026-09-10T18:46:45.081682+00:00,2021_CFB_W01_MASS_PITT,CFB_v1.0,2026-09-10T18:46:45.081682+00:00,False,True,2021-09-04 20:00:00+00:00,20.26,33.43,13.17,53.68,0.8055,15.8,,,,,,,0.154,FEATURES_IMPUTED,"[{""category"": ""TALENT"", ""points"": 8.52}, {""category"": ""home_field"", ""points"": 0.08}]",,4.687135898935641,4.771805988233972,"2022,2023,2024,2025",True,2021,1,44.0,58.0,1.0,-37.5,56.0,-30.83,30.83,-4.32,4.32,1.0,HOME,37.5,6.5,1.0,False,LOSS,False,LOSS,24.33,39.312864101064356,39.22819401176603,8,True
