game_id,retrieved_at,forecast_for_utc,hours_to_kickoff,is_indoor,roof_status_unknown,source,temp_f,feels_like_f,wind_mph,wind_gust_mph,wind_dir_deg,precip_prob,precip_in,humidity_pct,condition_code,is_actual
2023_CFB_W10_NIU_CMU,2026-09-07T06:28:15.813962+00:00,2023-10-31T23:00:00+00:00,-24991.5,False,False,open_meteo_archive,33.9,27.4,5.1,11.6,285.0,,0.004,81.0,71.0,True
2023_CFB_W10_BUF_TOL,2026-09-07T06:28:16.442060+00:00,2023-10-31T23:30:00+00:00,-24991.0,False,False,open_meteo_archive,33.9,25.6,8.3,19.5,264.0,,0.016,70.0,73.0,True
2023_CFB_W10_BALL_BGSU,2026-09-07T06:28:17.037997+00:00,2023-11-01T23:00:00+00:00,-24967.5,False,False,open_meteo_archive,38.8,32.3,3.3,12.5,228.0,,0.0,51.0,3.0,True
2023_CFB_W10_KENT_AKR,2026-09-07T06:28:17.662981+00:00,2023-11-01T23:30:00+00:00,-24967.0,False,False,open_meteo_archive,33.4,26.5,4.2,12.3,286.0,,0.0,62.0,0.0,True
2023_CFB_W10_TCU_TTU,2026-09-07T06:28:18.263322+00:00,2023-11-02T23:00:00+00:00,-24943.5,False,False,open_meteo_archive,63.1,56.8,9.7,20.6,188.0,,0.0,44.0,0.0,True
2023_CFB_W10_WAKE_DUKE,2026-09-07T06:28:18.864631+00:00,2023-11-02T23:30:00+00:00,-24943.0,False,False,open_meteo_archive,44.6,38.8,3.3,4.5,228.0,,0.0,51.0,0.0,True
2023_CFB_W10_USA_TROY,2026-09-07T06:28:19.492764+00:00,2023-11-02T23:30:00+00:00,-24943.0,False,False,open_meteo_archive,53.0,46.0,6.5,9.8,63.0,,0.0,40.0,0.0,True
2023_CFB_W10_BC_SYR,2026-09-07T06:28:19.493153+00:00,2023-11-03T23:30:00+00:00,-24919.0,True,False,open_meteo_archive,,,,,,,,,,True
2023_CFB_W10_CSU_WYO,2026-09-07T06:28:20.105903+00:00,2023-11-04T00:00:00+00:00,-24918.5,False,False,open_meteo_archive,44.0,37.7,4.3,13.6,264.0,,0.0,52.0,2.0,True
2023_CFB_W10_JXST_SC,2026-09-07T06:28:20.730168+00:00,2023-11-04T16:00:00+00:00,-24902.5,False,False,open_meteo_archive,63.0,58.8,4.3,11.4,3.0,,0.0,37.0,0.0,True
2023_CFB_W10_ND_CLEM,2026-09-07T06:28:21.332880+00:00,2023-11-04T16:00:00+00:00,-24902.5,False,False,open_meteo_archive,61.6,58.8,0.3,6.5,135.0,,0.0,39.0,0.0,True
2023_CFB_W10_FCS2097_UNC,2026-09-07T06:28:21.956926+00:00,2023-11-04T16:00:00+00:00,-24902.5,False,False,open_meteo_archive,63.5,59.1,2.5,9.8,10.0,,0.0,30.0,0.0,True
2023_CFB_W10_OSU_RUTG,2026-09-07T06:28:22.547654+00:00,2023-11-04T16:00:00+00:00,-24902.5,False,False,open_meteo_archive,54.8,50.5,3.7,10.1,256.0,,0.0,54.0,3.0,True
2023_CFB_W10_KSU_TEX,2026-09-07T06:28:23.164862+00:00,2023-11-04T16:00:00+00:00,-24902.5,False,False,open_meteo_archive,65.5,66.8,6.8,13.0,169.0,,0.0,88.0,3.0,True
2023_CFB_W10_ARK_FLA,2026-09-07T06:28:23.777589+00:00,2023-11-04T16:00:00+00:00,-24902.5,False,False,open_meteo_archive,67.3,62.7,6.2,14.3,13.0,,0.0,40.0,2.0,True
