game_id,retrieved_at,forecast_for_utc,hours_to_kickoff,is_indoor,roof_status_unknown,source,temp_f,feels_like_f,wind_mph,wind_gust_mph,wind_dir_deg,precip_prob,precip_in,humidity_pct,condition_code
2026_NFL_W01_NE_SEA,2026-09-06T20:01:43.067783+00:00,2026-09-10T00:20:00+00:00,76.3,False,False,open_meteo,74.6,71.6,6.7,5.8,339.0,0.0,0.0,41.0,0.0
2026_NFL_W01_SF_LAR,2026-09-06T20:01:43.068122+00:00,2026-09-11T00:35:00+00:00,100.6,True,False,open_meteo,,,,,,,,,
2026_NFL_W01_CHI_CAR,2026-09-06T20:01:43.286145+00:00,2026-09-13T17:00:00+00:00,165.0,False,False,open_meteo,89.4,96.9,4.3,5.1,180.0,0.04,0.0,47.0,0.0
2026_NFL_W01_TB_CIN,2026-09-06T20:01:43.504205+00:00,2026-09-13T17:00:00+00:00,165.0,False,False,open_meteo,89.5,91.1,7.1,13.2,193.0,0.2,0.0,34.0,0.0
2026_NFL_W01_NO_DET,2026-09-06T20:01:43.504613+00:00,2026-09-13T17:00:00+00:00,165.0,True,False,open_meteo,,,,,,,,,
2026_NFL_W01_BUF_HOU,2026-09-06T20:01:43.723072+00:00,2026-09-13T17:00:00+00:00,165.0,False,True,open_meteo,92.5,100.2,7.4,11.2,173.0,0.19,0.0,49.0,0.0
2026_NFL_W01_BAL_IND,2026-09-06T20:01:43.951163+00:00,2026-09-13T17:00:00+00:00,165.0,False,True,open_meteo,89.1,91.4,9.3,15.0,201.0,0.14,0.0,41.0,0.0
2026_NFL_W01_CLE_JAX,2026-09-06T20:01:44.169154+00:00,2026-09-13T17:00:00+00:00,165.0,False,False,open_meteo,99.0,106.9,3.4,2.2,233.0,0.1,0.0,33.0,1.0
2026_NFL_W01_ATL_PIT,2026-09-06T20:01:44.388573+00:00,2026-09-13T17:00:00+00:00,165.0,False,False,open_meteo,82.4,85.6,6.3,12.1,215.0,0.13,0.0,47.0,0.0
2026_NFL_W01_NYJ_TEN,2026-09-06T20:01:44.607305+00:00,2026-09-13T17:00:00+00:00,165.0,False,False,open_meteo,92.6,96.7,8.4,12.1,197.0,0.18,0.0,42.0,1.0
2026_NFL_W01_ARI_LAC,2026-09-06T20:01:44.607685+00:00,2026-09-13T20:25:00+00:00,168.4,True,False,open_meteo,,,,,,,,,
2026_NFL_W01_MIA_LV,2026-09-06T20:01:44.607958+00:00,2026-09-13T20:25:00+00:00,168.4,True,False,open_meteo,,,,,,,,,
2026_NFL_W01_GB_MIN,2026-09-06T20:01:44.608218+00:00,2026-09-13T20:25:00+00:00,168.4,True,False,open_meteo,,,,,,,,,
2026_NFL_W01_WAS_PHI,2026-09-06T20:01:44.826791+00:00,2026-09-13T20:25:00+00:00,168.4,False,False,open_meteo,86.2,86.5,10.4,15.2,205.0,0.09,0.0,45.0,3.0
2026_NFL_W01_DAL_NYG,2026-09-06T20:01:45.045700+00:00,2026-09-14T00:20:00+00:00,172.3,False,False,open_meteo,79.7,83.2,4.2,14.5,216.0,0.11,0.0,60.0,3.0
2026_NFL_W01_DEN_KC,2026-09-06T20:01:45.265071+00:00,2026-09-15T00:15:00+00:00,196.2,False,False,open_meteo,79.5,74.7,9.0,14.3,316.0,0.13,0.0,31.0,3.0
2026_NFL_W01_NE_SEA,2026-09-06T21:14:55.912160+00:00,2026-09-10T00:20:00+00:00,75.1,False,False,open_meteo,74.6,71.6,6.7,5.8,339.0,0.0,0.0,41.0,0.0
2026_NFL_W01_SF_LAR,2026-09-06T21:14:55.912504+00:00,2026-09-11T00:35:00+00:00,99.3,True,False,open_meteo,,,,,,,,,
2026_NFL_W01_CHI_CAR,2026-09-06T21:14:56.055997+00:00,2026-09-13T17:00:00+00:00,163.8,False,False,open_meteo,89.4,96.9,4.3,5.1,180.0,0.05,0.0,47.0,0.0
2026_NFL_W01_TB_CIN,2026-09-06T21:14:56.198908+00:00,2026-09-13T17:00:00+00:00,163.8,False,False,open_meteo,89.5,91.1,7.1,13.2,193.0,0.09,0.0,34.0,0.0
2026_NFL_W01_NO_DET,2026-09-06T21:14:56.199227+00:00,2026-09-13T17:00:00+00:00,163.8,True,False,open_meteo,,,,,,,,,
2026_NFL_W01_BUF_HOU,2026-09-06T21:14:56.342210+00:00,2026-09-13T17:00:00+00:00,163.8,False,True,open_meteo,92.5,100.2,7.4,11.2,173.0,0.13,0.0,49.0,0.0
2026_NFL_W01_BAL_IND,2026-09-06T21:14:56.485530+00:00,2026-09-13T17:00:00+00:00,163.8,False,True,open_meteo,89.1,91.4,9.3,15.0,201.0,0.12,0.0,41.0,0.0
2026_NFL_W01_CLE_JAX,2026-09-06T21:14:56.628204+00:00,2026-09-13T17:00:00+00:00,163.8,False,False,open_meteo,99.0,106.9,3.4,2.2,233.0,0.12,0.0,33.0,1.0
2026_NFL_W01_ATL_PIT,2026-09-06T21:14:56.787155+00:00,2026-09-13T17:00:00+00:00,163.8,False,False,open_meteo,82.4,85.6,6.3,12.1,215.0,0.11,0.0,47.0,0.0
2026_NFL_W01_NYJ_TEN,2026-09-06T21:14:56.930366+00:00,2026-09-13T17:00:00+00:00,163.8,False,False,open_meteo,92.6,96.7,8.4,12.1,197.0,0.1,0.0,42.0,1.0
2026_NFL_W01_ARI_LAC,2026-09-06T21:14:56.930689+00:00,2026-09-13T20:25:00+00:00,167.2,True,False,open_meteo,,,,,,,,,
2026_NFL_W01_MIA_LV,2026-09-06T21:14:56.930923+00:00,2026-09-13T20:25:00+00:00,167.2,True,False,open_meteo,,,,,,,,,
2026_NFL_W01_GB_MIN,2026-09-06T21:14:56.931139+00:00,2026-09-13T20:25:00+00:00,167.2,True,False,open_meteo,,,,,,,,,
2026_NFL_W01_WAS_PHI,2026-09-06T21:14:57.074411+00:00,2026-09-13T20:25:00+00:00,167.2,False,False,open_meteo,86.2,86.5,10.4,15.2,205.0,0.08,0.0,45.0,3.0
2026_NFL_W01_DAL_NYG,2026-09-06T21:14:57.218067+00:00,2026-09-14T00:20:00+00:00,171.1,False,False,open_meteo,79.7,83.2,4.2,14.5,216.0,0.07,0.0,60.0,3.0
2026_NFL_W01_DEN_KC,2026-09-06T21:14:57.362212+00:00,2026-09-15T00:15:00+00:00,195.0,False,False,open_meteo,79.5,74.7,9.0,14.3,316.0,0.16,0.0,31.0,3.0
2026_NFL_W01_NE_SEA,2026-09-06T23:01:26.961474+00:00,2026-09-10T00:20:00+00:00,73.3,False,False,open_meteo,74.6,71.6,6.7,5.8,339.0,0.0,0.0,41.0,0.0
2026_NFL_W01_SF_LAR,2026-09-06T23:01:26.961842+00:00,2026-09-11T00:35:00+00:00,97.6,True,False,open_meteo,,,,,,,,,
2026_NFL_W01_CHI_CAR,2026-09-06T23:01:27.111216+00:00,2026-09-13T17:00:00+00:00,162.0,False,False,open_meteo,89.4,96.9,4.3,5.1,180.0,0.05,0.0,47.0,0.0
2026_NFL_W01_TB_CIN,2026-09-06T23:01:27.261133+00:00,2026-09-13T17:00:00+00:00,162.0,False,False,open_meteo,89.5,91.1,7.1,13.2,193.0,0.09,0.0,34.0,0.0
2026_NFL_W01_NO_DET,2026-09-06T23:01:27.261460+00:00,2026-09-13T17:00:00+00:00,162.0,True,False,open_meteo,,,,,,,,,
2026_NFL_W01_BUF_HOU,2026-09-06T23:01:27.412173+00:00,2026-09-13T17:00:00+00:00,162.0,False,True,open_meteo,92.5,100.2,7.4,11.2,173.0,0.13,0.0,49.0,0.0
2026_NFL_W01_BAL_IND,2026-09-06T23:01:27.562661+00:00,2026-09-13T17:00:00+00:00,162.0,False,True,open_meteo,89.1,91.4,9.3,15.0,201.0,0.12,0.0,41.0,0.0
2026_NFL_W01_CLE_JAX,2026-09-06T23:01:27.714584+00:00,2026-09-13T17:00:00+00:00,162.0,False,False,open_meteo,99.0,106.9,3.4,2.2,233.0,0.12,0.0,33.0,1.0
2026_NFL_W01_ATL_PIT,2026-09-06T23:01:27.865467+00:00,2026-09-13T17:00:00+00:00,162.0,False,False,open_meteo,82.4,85.6,6.3,12.1,215.0,0.11,0.0,47.0,0.0
2026_NFL_W01_NYJ_TEN,2026-09-06T23:01:28.016399+00:00,2026-09-13T17:00:00+00:00,162.0,False,False,open_meteo,92.6,96.7,8.4,12.1,197.0,0.1,0.0,42.0,1.0
2026_NFL_W01_ARI_LAC,2026-09-06T23:01:28.016751+00:00,2026-09-13T20:25:00+00:00,165.4,True,False,open_meteo,,,,,,,,,
2026_NFL_W01_MIA_LV,2026-09-06T23:01:28.016997+00:00,2026-09-13T20:25:00+00:00,165.4,True,False,open_meteo,,,,,,,,,
2026_NFL_W01_GB_MIN,2026-09-06T23:01:28.017217+00:00,2026-09-13T20:25:00+00:00,165.4,True,False,open_meteo,,,,,,,,,
2026_NFL_W01_WAS_PHI,2026-09-06T23:01:28.167786+00:00,2026-09-13T20:25:00+00:00,165.4,False,False,open_meteo,86.2,86.5,10.4,15.2,205.0,0.08,0.0,45.0,3.0
2026_NFL_W01_DAL_NYG,2026-09-06T23:01:28.338097+00:00,2026-09-14T00:20:00+00:00,169.3,False,False,open_meteo,79.7,83.2,4.2,14.5,216.0,0.07,0.0,60.0,3.0
2026_NFL_W01_DEN_KC,2026-09-06T23:01:28.491713+00:00,2026-09-15T00:15:00+00:00,193.2,False,False,open_meteo,79.5,74.7,9.0,14.3,316.0,0.16,0.0,31.0,3.0
2026_NFL_W01_NE_SEA,2026-09-07T11:04:41.561221+00:00,2026-09-10T00:20:00+00:00,61.3,False,False,open_meteo,75.3,72.3,6.2,5.4,347.0,0.0,0.0,39.0,3.0
