split_id,game_id,week,retrieved_at,book,period,spread_ticket_pct_home,spread_money_pct_home,total_ticket_pct_home,total_money_pct_home,moneyline_ticket_pct_home,moneyline_money_pct_home,line_spread_home,line_total,line_ml_home,line_ml_away,source
2026_CFB_W04_OU_UGA_FULL_draftkings_2026-09-12T13:00:57.696709+00:00,2026_CFB_W04_OU_UGA,4,2026-09-12T13:00:57.696709+00:00,draftkings,FULL,0.0,0.0,0.0,0.0,0.89,0.89,-10.0,52.5,-395.0,310.0,vsin_dk
2026_CFB_W04_ORE_USC_FULL_draftkings_2026-09-12T13:00:57.696709+00:00,2026_CFB_W04_ORE_USC,4,2026-09-12T13:00:57.696709+00:00,draftkings,FULL,0.2,0.0,,,0.0,0.0,5.5,,195.0,-238.0,vsin_dk
2026_CFB_W04_OU_UGA_FULL_draftkings_2026-09-12T13:03:15.189066+00:00,2026_CFB_W04_OU_UGA,4,2026-09-12T13:03:15.189066+00:00,draftkings,FULL,0.0,0.0,0.0,0.0,0.89,0.89,-10.0,52.5,-395.0,310.0,vsin_dk
2026_CFB_W04_ORE_USC_FULL_draftkings_2026-09-12T13:03:15.189066+00:00,2026_CFB_W04_ORE_USC,4,2026-09-12T13:03:15.189066+00:00,draftkings,FULL,0.2,0.0,,,0.0,0.0,5.5,,195.0,-238.0,vsin_dk
2026_CFB_W04_OU_UGA_FULL_draftkings_2026-09-12T13:16:00.174590+00:00,2026_CFB_W04_OU_UGA,4,2026-09-12T13:16:00.174590+00:00,draftkings,FULL,0.0,0.0,0.0,0.0,0.89,0.89,-10.0,52.5,-395.0,310.0,vsin_dk
2026_CFB_W04_ORE_USC_FULL_draftkings_2026-09-12T13:16:00.174590+00:00,2026_CFB_W04_ORE_USC,4,2026-09-12T13:16:00.174590+00:00,draftkings,FULL,0.2,0.0,,,0.0,0.0,5.5,,195.0,-238.0,vsin_dk
2026_CFB_W04_OU_UGA_FULL_draftkings_2026-09-12T13:18:35.792390+00:00,2026_CFB_W04_OU_UGA,4,2026-09-12T13:18:35.792390+00:00,draftkings,FULL,0.0,0.0,0.0,0.0,0.89,0.89,-10.0,52.5,-395.0,310.0,vsin_dk
2026_CFB_W04_ORE_USC_FULL_draftkings_2026-09-12T13:18:35.792390+00:00,2026_CFB_W04_ORE_USC,4,2026-09-12T13:18:35.792390+00:00,draftkings,FULL,0.2,0.0,,,0.0,0.0,5.5,,195.0,-238.0,vsin_dk
2026_CFB_W04_OU_UGA_FULL_draftkings_2026-09-12T13:21:39.768839+00:00,2026_CFB_W04_OU_UGA,4,2026-09-12T13:21:39.768839+00:00,draftkings,FULL,0.0,0.0,0.0,0.0,0.89,0.89,-10.0,52.5,-395.0,310.0,vsin_dk
2026_CFB_W04_ORE_USC_FULL_draftkings_2026-09-12T13:21:39.768839+00:00,2026_CFB_W04_ORE_USC,4,2026-09-12T13:21:39.768839+00:00,draftkings,FULL,0.2,0.0,,,0.0,0.0,5.5,,195.0,-238.0,vsin_dk
