game_id,retrieved_at,forecast_for_utc,hours_to_kickoff,is_indoor,roof_status_unknown,source,temp_f,feels_like_f,wind_mph,wind_gust_mph,wind_dir_deg,precip_prob,precip_in,humidity_pct,condition_code,is_actual
2024_CFB_W12_BALL_BUF,2026-09-07T06:16:05.539988+00:00,2024-11-13T00:00:00+00:00,-15918.3,False,False,open_meteo_archive,36.3,30.9,3.1,6.9,350.0,,0.0,78.0,0.0,True
2024_CFB_W12_WMU_BGSU,2026-09-07T06:16:05.894092+00:00,2024-11-13T00:00:00+00:00,-15918.3,False,False,open_meteo_archive,39.5,33.1,6.2,12.1,72.0,,0.0,77.0,0.0,True
2024_CFB_W12_CMU_TOL,2026-09-07T06:16:06.284300+00:00,2024-11-13T00:00:00+00:00,-15918.3,False,False,open_meteo_archive,40.6,35.3,3.9,7.4,105.0,,0.0,76.0,0.0,True
2024_CFB_W12_EMU_OHIO,2026-09-07T06:16:06.643945+00:00,2024-11-14T00:00:00+00:00,-15894.3,False,False,open_meteo_archive,52.9,45.9,6.7,12.3,132.0,,0.0,41.0,3.0,True
2024_CFB_W12_AKR_NIU,2026-09-07T06:16:07.001785+00:00,2024-11-14T00:00:00+00:00,-15894.3,False,False,open_meteo_archive,49.3,41.9,11.9,21.7,133.0,,0.0,71.0,3.0,True
2024_CFB_W12_KENT_MOH,2026-09-07T06:16:07.379228+00:00,2024-11-14T00:00:00+00:00,-15894.3,False,False,open_meteo_archive,54.1,47.7,10.8,18.3,111.0,,0.0,66.0,3.0,True
2024_CFB_W12_ECU_TLSA,2026-09-07T06:16:07.726520+00:00,2024-11-15T00:30:00+00:00,-15869.8,False,False,open_meteo_archive,55.0,51.3,4.4,7.4,130.0,,0.0,64.0,0.0,True
2024_CFB_W12_WYO_CSU,2026-09-07T06:16:08.102282+00:00,2024-11-16T01:00:00+00:00,-15845.3,False,False,open_meteo_archive,41.5,36.7,0.7,2.5,309.0,,0.0,57.0,0.0,True
2024_CFB_W12_UNT_UTSA,2026-09-07T06:16:08.102637+00:00,2024-11-16T01:00:00+00:00,-15845.3,True,False,open_meteo_archive,,,,,,,,,,True
2024_CFB_W12_UCLA_WASH,2026-09-07T06:16:08.469867+00:00,2024-11-16T02:00:00+00:00,-15844.3,False,False,open_meteo_archive,44.7,41.4,0.3,1.3,243.0,,0.0,71.0,0.0,True
2024_CFB_W12_HOU_ARIZ,2026-09-07T06:16:08.813929+00:00,2024-11-16T03:15:00+00:00,-15843.0,False,False,open_meteo_archive,62.4,54.8,7.7,17.4,322.0,,0.0,27.0,0.0,True
2024_CFB_W12_LT_WKU,2026-09-07T06:16:09.195515+00:00,2024-11-16T17:00:00+00:00,-15829.3,False,False,open_meteo_archive,57.0,52.5,7.6,17.7,95.0,,0.0,64.0,0.0,True
2024_CFB_W12_UTAH_COLO,2026-09-07T06:16:09.554148+00:00,2024-11-16T17:00:00+00:00,-15829.3,False,False,open_meteo_archive,47.4,42.0,1.6,7.6,65.0,,0.0,42.0,0.0,True
2024_CFB_W12_TULN_NAVY,2026-09-07T06:16:09.928490+00:00,2024-11-16T17:00:00+00:00,-15829.3,False,False,open_meteo_archive,58.9,51.1,13.3,29.1,322.0,,0.0,51.0,0.0,True
2024_CFB_W12_LIB_MASS,2026-09-07T06:16:10.273726+00:00,2024-11-16T17:00:00+00:00,-15829.3,False,False,open_meteo_archive,55.9,45.6,11.2,23.9,320.0,,0.0,21.0,0.0,True
2024_CFB_W12_OSU_NU,2026-09-07T06:16:10.633990+00:00,2024-11-16T17:00:00+00:00,-15829.3,False,False,open_meteo_archive,49.6,43.2,9.6,22.4,159.0,,0.0,69.0,3.0,True
2024_CFB_W12_TEX_ARK,2026-09-07T06:16:11.016801+00:00,2024-11-16T17:00:00+00:00,-15829.3,False,False,open_meteo_archive,58.8,53.4,9.3,19.9,167.0,,0.0,58.0,2.0,True
2024_CFB_W12_CLEM_PITT,2026-09-07T06:16:11.360259+00:00,2024-11-16T17:00:00+00:00,-15829.3,False,False,open_meteo_archive,50.3,43.9,8.3,21.3,333.0,,0.0,62.0,2.0,True
2024_CFB_W12_ULM_AUB,2026-09-07T06:16:11.773984+00:00,2024-11-16T17:45:00+00:00,-15828.5,False,False,open_meteo_archive,65.1,65.1,2.6,9.6,220.0,,0.0,60.0,0.0,True
2024_CFB_W12_CCU_MRSH,2026-09-07T06:16:12.133832+00:00,2024-11-16T18:00:00+00:00,-15828.3,False,False,open_meteo_archive,55.5,51.8,3.2,10.5,34.0,,0.0,57.0,3.0,True
2024_CFB_W12_FCS93_UK,2026-09-07T06:16:12.514222+00:00,2024-11-16T18:30:00+00:00,-15827.8,False,False,open_meteo_archive,53.2,49.0,5.4,15.9,83.0,,0.0,66.0,3.0,True
2024_CFB_W12_FCS2382_ALA,2026-09-07T06:16:12.897155+00:00,2024-11-16T19:00:00+00:00,-15827.3,False,False,open_meteo_archive,66.3,66.6,0.9,7.4,230.0,,0.0,55.0,0.0,True
2024_CFB_W12_FIU_JXST,2026-09-07T06:16:13.275961+00:00,2024-11-16T19:00:00+00:00,-15827.3,False,False,open_meteo_archive,64.3,63.1,2.7,10.5,289.0,,0.0,54.0,0.0,True
2024_CFB_W12_FAU_TEM,2026-09-07T06:16:13.644837+00:00,2024-11-16T19:00:00+00:00,-15827.3,False,False,open_meteo_archive,61.3,52.9,11.8,27.1,321.0,,0.0,38.0,0.0,True
2024_CFB_W12_MSU_ILL,2026-09-07T06:16:14.025125+00:00,2024-11-16T19:30:00+00:00,-15826.8,False,False,open_meteo_archive,52.5,45.9,10.0,22.6,152.0,,0.0,63.0,0.0,True
2024_CFB_W12_SHSU_KENN,2026-09-07T06:16:14.386091+00:00,2024-11-16T20:00:00+00:00,-15826.3,False,False,open_meteo_archive,64.1,61.8,3.9,10.7,282.0,,0.0,55.0,0.0,True
2024_CFB_W12_SYR_CAL,2026-09-07T06:16:14.776812+00:00,2024-11-16T20:00:00+00:00,-15826.3,False,False,open_meteo_archive,56.5,49.0,6.0,16.1,332.0,,0.0,27.0,2.0,True
2024_CFB_W12_HAW_USU,2026-09-07T06:16:15.129769+00:00,2024-11-16T20:00:00+00:00,-15826.3,False,False,open_meteo_archive,35.1,30.5,1.1,4.5,302.0,,0.0,81.0,3.0,True
2024_CFB_W12_USF_CLT,2026-09-07T06:16:15.489418+00:00,2024-11-16T20:30:00+00:00,-15825.8,False,False,open_meteo_archive,61.3,59.3,1.5,7.8,337.0,,0.0,54.0,0.0,True
2024_CFB_W12_ORST_AF,2026-09-07T06:16:15.855129+00:00,2024-11-16T20:30:00+00:00,-15825.8,False,False,open_meteo_archive,43.9,36.6,5.0,11.2,48.0,,0.0,37.0,0.0,True
2024_CFB_W12_UVA_ND,2026-09-07T06:16:16.198084+00:00,2024-11-16T20:30:00+00:00,-15825.8,False,False,open_meteo_archive,52.1,45.5,9.8,21.0,156.0,,0.0,62.0,3.0,True
2024_CFB_W12_LSU_FLA,2026-09-07T06:16:16.604566+00:00,2024-11-16T20:30:00+00:00,-15825.8,False,False,open_meteo_archive,75.2,73.5,5.3,14.5,49.0,,0.0,44.0,0.0,True
2024_CFB_W12_BC_SMU,2026-09-07T06:16:16.959111+00:00,2024-11-16T20:30:00+00:00,-15825.8,False,False,open_meteo_archive,71.7,70.2,9.4,22.8,164.0,,0.0,61.0,3.0,True
2024_CFB_W12_LOU_STAN,2026-09-07T06:16:17.315672+00:00,2024-11-16T20:30:00+00:00,-15825.8,False,False,open_meteo_archive,56.3,50.2,4.5,13.6,353.0,,0.0,36.0,3.0,True
2024_CFB_W12_PSU_PUR,2026-09-07T06:16:17.690543+00:00,2024-11-16T20:30:00+00:00,-15825.8,False,False,open_meteo_archive,54.8,48.8,8.7,19.5,149.0,,0.0,58.0,0.0,True
2024_CFB_W12_BAY_WVU,2026-09-07T06:16:18.052798+00:00,2024-11-16T21:00:00+00:00,-15825.3,False,False,open_meteo_archive,52.5,47.6,4.8,13.9,335.0,,0.0,56.0,2.0,True
2024_CFB_W12_NEB_USC,2026-09-07T06:16:18.439603+00:00,2024-11-16T21:00:00+00:00,-15825.3,False,False,open_meteo_archive,66.9,60.4,4.6,15.0,229.0,,0.0,18.0,0.0,True
2024_CFB_W12_TROY_GASO,2026-09-07T06:16:18.813940+00:00,2024-11-16T21:00:00+00:00,-15825.3,False,False,open_meteo_archive,66.5,65.3,1.9,8.7,343.0,,0.0,52.0,0.0,True
2024_CFB_W12_JMU_ODU,2026-09-07T06:16:19.169744+00:00,2024-11-16T21:00:00+00:00,-15825.3,False,False,open_meteo_archive,58.6,54.6,6.6,21.9,324.0,,0.0,62.0,0.0,True
2024_CFB_W12_MIZ_SC,2026-09-07T06:16:19.545091+00:00,2024-11-16T21:15:00+00:00,-15825.0,False,False,open_meteo_archive,64.4,62.7,2.6,9.4,265.0,,0.0,55.0,0.0,True
2024_CFB_W12_ARST_GAST,2026-09-07T06:16:19.905760+00:00,2024-11-16T22:00:00+00:00,-15824.3,False,False,open_meteo_archive,63.1,63.9,0.3,4.3,63.0,,0.0,70.0,0.0,True
2024_CFB_W12_RUTG_MD,2026-09-07T06:16:20.272518+00:00,2024-11-16T23:00:00+00:00,-15823.3,False,False,open_meteo_archive,52.5,47.1,6.8,14.8,327.0,,0.0,61.0,0.0,True
2024_CFB_W12_BOIS_SJSU,2026-09-07T06:16:20.632747+00:00,2024-11-17T00:00:00+00:00,-15822.3,False,False,open_meteo_archive,55.5,49.0,5.2,16.1,286.0,,0.0,36.0,1.0,True
2024_CFB_W12_USA_UL,2026-09-07T06:16:20.990403+00:00,2024-11-17T00:00:00+00:00,-15822.3,False,False,open_meteo_archive,69.7,72.1,5.0,8.9,166.0,,0.0,78.0,3.0,True
2024_CFB_W12_USM_TXST,2026-09-07T06:16:21.367659+00:00,2024-11-17T00:00:00+00:00,-15822.3,False,False,open_meteo_archive,72.7,70.6,6.0,15.4,182.0,,0.0,48.0,3.0,True
2024_CFB_W12_ASU_KSU,2026-09-07T06:16:21.723172+00:00,2024-11-17T00:00:00+00:00,-15822.3,False,False,open_meteo_archive,59.2,54.1,11.7,22.6,190.0,,0.0,70.0,1.0,True
2024_CFB_W12_ORE_WIS,2026-09-07T06:16:22.108583+00:00,2024-11-17T00:30:00+00:00,-15821.8,False,False,open_meteo_archive,45.4,38.0,11.5,22.1,156.0,,0.0,78.0,3.0,True
2024_CFB_W12_TENN_UGA,2026-09-07T06:16:22.458644+00:00,2024-11-17T00:30:00+00:00,-15821.8,False,False,open_meteo_archive,54.8,53.9,2.1,2.7,174.0,,0.0,84.0,0.0,True
2024_CFB_W12_NMSU_TAM,2026-09-07T06:16:22.809185+00:00,2024-11-17T00:45:00+00:00,-15821.5,False,False,open_meteo_archive,73.6,72.0,10.2,28.2,142.0,,0.0,59.0,3.0,True
2024_CFB_W12_CIN_ISU,2026-09-07T06:16:23.189324+00:00,2024-11-17T01:00:00+00:00,-15821.3,False,False,open_meteo_archive,50.0,43.8,11.3,21.7,159.0,,0.0,80.0,3.0,True
2024_CFB_W12_UAB_MEM,2026-09-07T06:16:23.543161+00:00,2024-11-17T01:00:00+00:00,-15821.3,False,False,open_meteo_archive,57.2,55.4,4.3,7.8,129.0,,0.0,77.0,3.0,True
2024_CFB_W12_WAKE_UNC,2026-09-07T06:16:23.930997+00:00,2024-11-17T01:00:00+00:00,-15821.3,False,False,open_meteo_archive,46.7,43.5,3.3,5.4,315.0,,0.0,87.0,0.0,True
2024_CFB_W12_WSU_UNM,2026-09-07T06:16:24.285125+00:00,2024-11-17T02:30:00+00:00,-15819.8,False,False,open_meteo_archive,51.1,44.1,4.1,7.8,172.0,,0.0,29.0,0.0,True
2024_CFB_W12_KU_BYU,2026-09-07T06:16:24.644807+00:00,2024-11-17T03:15:00+00:00,-15819.0,False,False,open_meteo_archive,29.7,25.0,0.8,5.1,124.0,,0.0,92.0,3.0,True
2024_CFB_W12_SDSU_UNLV,2026-09-07T06:16:24.645155+00:00,2024-11-17T03:30:00+00:00,-15818.8,True,False,open_meteo_archive,,,,,,,,,,True
