game_id,retrieved_at,forecast_for_utc,hours_to_kickoff,is_indoor,roof_status_unknown,source,temp_f,feels_like_f,wind_mph,wind_gust_mph,wind_dir_deg,precip_prob,precip_in,humidity_pct,condition_code,is_actual
2024_CFB_W08_TROY_USA,2026-09-07T06:14:49.856854+00:00,2024-10-15T23:30:00+00:00,-16590.7,False,False,open_meteo_archive,74.8,80.6,2.9,7.8,216.0,,0.0,80.0,0.0,True
2024_CFB_W08_KENN_MTSU,2026-09-07T06:14:50.196050+00:00,2024-10-16T00:00:00+00:00,-16590.2,False,False,open_meteo_archive,48.3,43.5,3.9,15.0,300.0,,0.0,62.0,0.0,True
2024_CFB_W08_LT_NMSU,2026-09-07T06:14:50.556733+00:00,2024-10-16T01:00:00+00:00,-16589.2,False,False,open_meteo_archive,79.9,72.6,7.0,11.2,124.0,,0.0,15.0,0.0,True
2024_CFB_W08_WKU_SHSU,2026-09-07T06:14:50.883506+00:00,2024-10-16T23:00:00+00:00,-16567.2,False,False,open_meteo_archive,69.4,61.2,8.2,20.1,65.0,,0.0,19.0,0.0,True
2024_CFB_W08_FIU_UTEP,2026-09-07T06:14:51.239017+00:00,2024-10-17T01:00:00+00:00,-16565.2,False,False,open_meteo_archive,68.7,58.5,14.7,24.6,97.0,,0.0,24.0,0.0,True
2024_CFB_W08_GAST_MRSH,2026-09-07T06:14:51.614690+00:00,2024-10-17T23:00:00+00:00,-16543.2,False,False,open_meteo_archive,50.5,47.1,3.6,5.4,279.0,,0.0,73.0,0.0,True
2024_CFB_W08_BC_VT,2026-09-07T06:14:51.952506+00:00,2024-10-17T23:30:00+00:00,-16542.7,False,False,open_meteo_archive,47.5,41.6,6.0,9.2,312.0,,0.0,61.0,0.0,True
2024_CFB_W08_FSU_DUKE,2026-09-07T06:14:52.293286+00:00,2024-10-18T23:00:00+00:00,-16519.2,False,False,open_meteo_archive,56.5,52.3,5.7,8.7,16.0,,0.0,60.0,0.0,True
2024_CFB_W08_ORE_PUR,2026-09-07T06:14:52.652618+00:00,2024-10-19T00:00:00+00:00,-16518.2,False,False,open_meteo_archive,52.8,48.0,5.6,7.8,146.0,,0.0,61.0,0.0,True
2024_CFB_W08_OKST_BYU,2026-09-07T06:14:52.987282+00:00,2024-10-19T02:15:00+00:00,-16516.0,False,False,open_meteo_archive,43.4,39.8,2.5,13.0,10.0,,0.0,85.0,0.0,True
2024_CFB_W08_FRES_NEV,2026-09-07T06:14:53.351231+00:00,2024-10-19T02:30:00+00:00,-16515.7,False,False,open_meteo_archive,46.8,41.8,2.3,7.4,129.0,,0.0,53.0,0.0,True
2024_CFB_W08_UL_CCU,2026-09-07T06:14:53.688073+00:00,2024-10-19T16:00:00+00:00,-16502.2,False,False,open_meteo_archive,65.8,62.4,9.7,21.7,24.0,,0.0,53.0,0.0,True
2024_CFB_W08_WIS_NU,2026-09-07T06:14:54.031674+00:00,2024-10-19T16:00:00+00:00,-16502.2,False,False,open_meteo_archive,60.0,55.8,6.2,14.1,196.0,,0.0,54.0,0.0,True
2024_CFB_W08_AUB_MIZ,2026-09-07T06:14:54.394608+00:00,2024-10-19T16:00:00+00:00,-16502.2,False,False,open_meteo_archive,62.3,59.3,3.4,10.7,182.0,,0.0,51.0,0.0,True
2024_CFB_W08_MIA_LOU,2026-09-07T06:14:54.732997+00:00,2024-10-19T16:00:00+00:00,-16502.2,False,False,open_meteo_archive,58.6,57.4,0.9,7.2,157.0,,0.0,64.0,0.0,True
2024_CFB_W08_UCLA_RUTG,2026-09-07T06:14:55.074843+00:00,2024-10-19T16:00:00+00:00,-16502.2,False,False,open_meteo_archive,66.7,64.6,0.9,7.4,97.0,,0.0,38.0,0.0,True
2024_CFB_W08_WAKE_CONN,2026-09-07T06:14:55.440952+00:00,2024-10-19T16:00:00+00:00,-16502.2,False,False,open_meteo_archive,63.3,61.5,0.1,7.2,270.0,,0.0,43.0,0.0,True
2024_CFB_W08_ECU_ARMY,2026-09-07T06:14:55.781357+00:00,2024-10-19T16:00:00+00:00,-16502.2,False,False,open_meteo_archive,61.4,58.5,3.3,12.5,344.0,,0.0,48.0,0.0,True
2024_CFB_W08_ASU_CIN,2026-09-07T06:14:56.149430+00:00,2024-10-19T16:00:00+00:00,-16502.2,False,False,open_meteo_archive,61.0,59.5,0.9,6.7,140.0,,0.0,56.0,0.0,True
2024_CFB_W08_UVA_CLEM,2026-09-07T06:14:56.497610+00:00,2024-10-19T16:00:00+00:00,-16502.2,False,False,open_meteo_archive,63.9,59.8,7.0,16.6,59.0,,0.0,44.0,2.0,True
2024_CFB_W08_NEB_IU,2026-09-07T06:14:56.839384+00:00,2024-10-19T16:00:00+00:00,-16502.2,False,False,open_meteo_archive,63.1,61.1,0.7,6.0,180.0,,0.0,48.0,0.0,True
2024_CFB_W08_SC_OU,2026-09-07T06:14:57.198283+00:00,2024-10-19T16:45:00+00:00,-16501.5,False,False,open_meteo_archive,67.6,61.7,7.9,17.9,156.0,,0.0,36.0,0.0,True
2024_CFB_W08_CMU_EMU,2026-09-07T06:14:57.533957+00:00,2024-10-19T18:00:00+00:00,-16500.2,False,False,open_meteo_archive,65.8,62.6,4.9,11.9,213.0,,0.0,43.0,0.0,True
2024_CFB_W08_TLSA_TEM,2026-09-07T06:14:57.874080+00:00,2024-10-19T18:00:00+00:00,-16500.2,False,False,open_meteo_archive,70.2,68.1,1.4,8.7,346.0,,0.0,33.0,0.0,True
2024_CFB_W08_NCSU_CAL,2026-09-07T06:14:58.254120+00:00,2024-10-19T19:30:00+00:00,-16498.7,False,False,open_meteo_archive,72.4,63.7,11.3,29.3,44.0,,0.0,18.0,0.0,True
2024_CFB_W08_OHIO_MOH,2026-09-07T06:14:58.594678+00:00,2024-10-19T19:30:00+00:00,-16498.7,False,False,open_meteo_archive,66.2,63.6,3.1,10.1,197.0,,0.0,40.0,0.0,True
2024_CFB_W08_TOL_NIU,2026-09-07T06:14:58.965488+00:00,2024-10-19T19:30:00+00:00,-16498.7,False,False,open_meteo_archive,69.4,63.2,8.9,18.1,194.0,,0.0,31.0,1.0,True
2024_CFB_W08_RICE_TULN,2026-09-07T06:14:59.309353+00:00,2024-10-19T19:30:00+00:00,-16498.7,False,False,open_meteo_archive,75.4,74.3,12.8,24.6,62.0,,0.0,54.0,0.0,True
2024_CFB_W08_ALA_TENN,2026-09-07T06:14:59.647862+00:00,2024-10-19T19:30:00+00:00,-16498.7,False,False,open_meteo_archive,69.5,67.9,3.3,10.3,35.0,,0.0,39.0,3.0,True
2024_CFB_W08_TXST_ODU,2026-09-07T06:15:00.014660+00:00,2024-10-19T19:30:00+00:00,-16498.8,False,False,open_meteo_archive,66.6,63.9,9.9,19.9,30.0,,0.0,62.0,0.0,True
2024_CFB_W08_FAU_UTSA,2026-09-07T06:15:00.015004+00:00,2024-10-19T19:30:00+00:00,-16498.8,True,False,open_meteo_archive,,,,,,,,,,True
2024_CFB_W08_HAW_WSU,2026-09-07T06:15:00.355157+00:00,2024-10-19T19:30:00+00:00,-16498.8,False,False,open_meteo_archive,61.6,56.8,7.1,14.3,217.0,,0.0,50.0,2.0,True
