snapshot_id,game_id,retrieved_at,provider_updated_at,book,spread_home,spread_home_price,spread_away_price,ml_home,ml_away,total,over_price,under_price,spread_ticket_pct_home,spread_money_pct_home,ml_ticket_pct_home,ml_money_pct_home,total_ticket_pct_over,total_money_pct_over,is_first_snapshot,provider_open_spread_home,provider_open_total,source,plan
2026_CFB_W01_FCS2634_UGA_draftkings_20260905T142531Z,2026_CFB_W01_FCS2634_UGA,2026-09-05T14:25:31.390155+00:00,,draftkings,-48.5,,,,,55.5,,,,,,,,,True,-46.5,56.5,cfbd,free
2026_CFB_W01_FCS2634_UGA_bovada_20260905T142531Z,2026_CFB_W01_FCS2634_UGA,2026-09-05T14:25:31.390155+00:00,,bovada,-46.5,,,,,54.5,,,,,,,,,True,-48.0,54.5,cfbd,free
2026_CFB_W01_FCS227_TEM_draftkings_20260905T142531Z,2026_CFB_W01_FCS227_TEM,2026-09-05T14:25:31.390155+00:00,,draftkings,-14.5,,,-700.0,500.0,51.5,,,,,,,,,True,-10.0,51.5,cfbd,free
2026_CFB_W01_FCS227_TEM_bovada_20260905T142531Z,2026_CFB_W01_FCS227_TEM,2026-09-05T14:25:31.390155+00:00,,bovada,-14.5,,,-700.0,475.0,51.0,,,,,,,,,True,-14.5,51.0,cfbd,free
2026_CFB_W01_FCS2453_ARK_draftkings_20260905T142531Z,2026_CFB_W01_FCS2453_ARK,2026-09-05T14:25:31.390155+00:00,,draftkings,-40.5,,,,,63.5,,,,,,,,,True,-40.5,63.5,cfbd,free
2026_CFB_W01_FCS2453_ARK_bovada_20260905T142531Z,2026_CFB_W01_FCS2453_ARK,2026-09-05T14:25:31.390155+00:00,,bovada,-40.5,,,,,63.0,,,,,,,,,True,-40.5,63.0,cfbd,free
2026_CFB_W01_FCS160_SYR_bovada_20260905T142531Z,2026_CFB_W01_FCS160_SYR,2026-09-05T14:25:31.390155+00:00,,bovada,-34.5,,,,,55.5,,,,,,,,,True,-34.5,55.0,cfbd,free
2026_CFB_W01_LIB_JMU_draftkings_20260905T142531Z,2026_CFB_W01_LIB_JMU,2026-09-05T14:25:31.390155+00:00,,draftkings,-6.0,,,-225.0,185.0,50.5,,,,,,,,,True,-6.0,,cfbd,free
2026_CFB_W01_LIB_JMU_bovada_20260905T142531Z,2026_CFB_W01_LIB_JMU,2026-09-05T14:25:31.390155+00:00,,bovada,-6.0,,,-250.0,210.0,50.5,,,,,,,,,True,-6.0,50.5,cfbd,free
2026_CFB_W01_FCS2754_UK_draftkings_20260905T142531Z,2026_CFB_W01_FCS2754_UK,2026-09-05T14:25:31.390155+00:00,,draftkings,-22.5,,,-1650.0,950.0,62.5,,,,,,,,,True,-23.5,62.5,cfbd,free
2026_CFB_W01_FCS2754_UK_bovada_20260905T142531Z,2026_CFB_W01_FCS2754_UK,2026-09-05T14:25:31.390155+00:00,,bovada,-22.0,,,-2200.0,1000.0,62.5,,,,,,,,,True,-23.0,62.5,cfbd,free
2026_CFB_W01_FCS2065_UCF_draftkings_20260905T142531Z,2026_CFB_W01_FCS2065_UCF,2026-09-05T14:25:31.390155+00:00,,draftkings,-43.5,,,,,58.5,,,,,,,,,True,-41.5,,cfbd,free
2026_CFB_W01_FCS2065_UCF_draftkings_20260905T142531Z,2026_CFB_W01_FCS2065_UCF,2026-09-05T14:25:31.390155+00:00,,draftkings,-43.5,,,,,58.5,,,,,,,,,True,,,cfbd,free
2026_CFB_W01_FCS2627_BGSU_draftkings_20260905T142531Z,2026_CFB_W01_FCS2627_BGSU,2026-09-05T14:25:31.390155+00:00,,draftkings,-2.5,,,-130.0,110.0,48.5,,,,,,,,,True,-2.5,47.5,cfbd,free
2026_CFB_W01_FCS2627_BGSU_bovada_20260905T142531Z,2026_CFB_W01_FCS2627_BGSU,2026-09-05T14:25:31.390155+00:00,,bovada,-2.0,,,-125.0,105.0,48.0,,,,,,,,,True,-2.0,48.0,cfbd,free
2026_CFB_W01_FCS322_CONN_draftkings_20260905T142531Z,2026_CFB_W01_FCS322_CONN,2026-09-05T14:25:31.390155+00:00,,draftkings,-21.5,,,-1600.0,900.0,51.5,,,,,,,,,True,-19.5,58.5,cfbd,free
2026_CFB_W01_FCS322_CONN_bovada_20260905T142531Z,2026_CFB_W01_FCS322_CONN,2026-09-05T14:25:31.390155+00:00,,bovada,-19.5,,,-1300.0,725.0,51.5,,,,,,,,,True,-19.5,51.5,cfbd,free
2026_CFB_W01_FCS2803_ARMY_draftkings_20260905T142531Z,2026_CFB_W01_FCS2803_ARMY,2026-09-05T14:25:31.390155+00:00,,draftkings,-37.5,,,,,51.5,,,,,,,,,True,-36.5,,cfbd,free
2026_CFB_W01_FCS2803_ARMY_bovada_20260905T142531Z,2026_CFB_W01_FCS2803_ARMY,2026-09-05T14:25:31.390155+00:00,,bovada,-37.0,,,,,50.5,,,,,,,,,True,-37.0,50.5,cfbd,free
2026_CFB_W01_BC_CIN_draftkings_20260905T142531Z,2026_CFB_W01_BC_CIN,2026-09-05T14:25:31.390155+00:00,,draftkings,-7.0,,,-285.0,230.0,50.5,,,,,,,,,True,-9.5,,cfbd,free
2026_CFB_W01_BC_CIN_bovada_20260905T142531Z,2026_CFB_W01_BC_CIN,2026-09-05T14:25:31.390155+00:00,,bovada,-7.5,,,-270.0,220.0,50.0,,,,,,,,,True,-9.5,54.5,cfbd,free
2026_CFB_W01_FCS231_TENN_draftkings_20260905T142531Z,2026_CFB_W01_FCS231_TENN,2026-09-05T14:25:31.390155+00:00,,draftkings,-48.5,,,,,66.5,,,,,,,,,True,-46.5,66.5,cfbd,free
2026_CFB_W01_FCS231_TENN_bovada_20260905T142531Z,2026_CFB_W01_FCS231_TENN,2026-09-05T14:25:31.390155+00:00,,bovada,-48.0,,,,,67.0,,,,,,,,,True,-48.0,66.5,cfbd,free
2026_CFB_W01_FCS399_BUF_draftkings_20260905T142531Z,2026_CFB_W01_FCS399_BUF,2026-09-05T14:25:31.390155+00:00,,draftkings,-18.5,,,-1000.0,650.0,47.5,,,,,,,,,True,-24.5,48.5,cfbd,free
2026_CFB_W01_FCS399_BUF_draftkings_20260905T142531Z,2026_CFB_W01_FCS399_BUF,2026-09-05T14:25:31.390155+00:00,,draftkings,-18.5,,,,,47.5,,,,,,,,,True,,,cfbd,free
2026_CFB_W01_FCS2448_GAST_draftkings_20260905T142531Z,2026_CFB_W01_FCS2448_GAST,2026-09-05T14:25:31.390155+00:00,,draftkings,-28.5,,,-4000.0,1600.0,58.5,,,,,,,,,True,-28.5,63.5,cfbd,free
2026_CFB_W01_FCS2448_GAST_bovada_20260905T142531Z,2026_CFB_W01_FCS2448_GAST,2026-09-05T14:25:31.390155+00:00,,bovada,-28.0,,,,,61.0,,,,,,,,,True,-28.0,61.0,cfbd,free
2026_CFB_W01_FCS2448_GAST_draftkings_20260905T142531Z,2026_CFB_W01_FCS2448_GAST,2026-09-05T14:25:31.390155+00:00,,draftkings,-28.5,,,,,58.5,,,,,,,,,True,,,cfbd,free
2026_CFB_W01_FCS2197_MINN_draftkings_20260905T142531Z,2026_CFB_W01_FCS2197_MINN,2026-09-05T14:25:31.390155+00:00,,draftkings,-42.5,,,,,52.5,,,,,,,,,True,-43.5,,cfbd,free
2026_CFB_W01_FCS2197_MINN_draftkings_20260905T142531Z,2026_CFB_W01_FCS2197_MINN,2026-09-05T14:25:31.390155+00:00,,draftkings,-42.5,,,,,52.5,,,,,,,,,True,,,cfbd,free
2026_CFB_W01_FCS2341_KU_draftkings_20260905T142531Z,2026_CFB_W01_FCS2341_KU,2026-09-05T14:25:31.390155+00:00,,draftkings,-44.5,,,,,57.5,,,,,,,,,True,-38.5,53.5,cfbd,free
2026_CFB_W01_FCS2341_KU_bovada_20260905T142531Z,2026_CFB_W01_FCS2341_KU,2026-09-05T14:25:31.390155+00:00,,bovada,-42.0,,,,,54.5,,,,,,,,,True,-42.0,54.5,cfbd,free
2026_CFB_W01_FCS2341_KU_draftkings_20260905T142531Z,2026_CFB_W01_FCS2341_KU,2026-09-05T14:25:31.390155+00:00,,draftkings,-44.5,,,,,57.5,,,,,,,,,True,,,cfbd,free
2026_CFB_W01_FCS2029_MIZ_draftkings_20260905T142531Z,2026_CFB_W01_FCS2029_MIZ,2026-09-05T14:25:31.390155+00:00,,draftkings,-55.5,,,,,62.5,,,,,,,,,True,-54.5,60.5,cfbd,free
2026_CFB_W01_FCS2029_MIZ_draftkings_20260905T142531Z,2026_CFB_W01_FCS2029_MIZ,2026-09-05T14:25:31.390155+00:00,,draftkings,-55.5,,,,,62.5,,,,,,,,,True,,,cfbd,free
2026_CFB_W01_FCS2771_DEL_draftkings_20260905T142531Z,2026_CFB_W01_FCS2771_DEL,2026-09-05T14:25:31.390155+00:00,,draftkings,-31.5,,,-8000.0,2200.0,56.5,,,,,,,,,True,-28.5,55.5,cfbd,free
2026_CFB_W01_FCS2771_DEL_draftkings_20260905T142531Z,2026_CFB_W01_FCS2771_DEL,2026-09-05T14:25:31.390155+00:00,,draftkings,-31.5,,,,,56.5,,,,,,,,,True,,,cfbd,free
2026_CFB_W01_FCS282_PUR_draftkings_20260905T142531Z,2026_CFB_W01_FCS282_PUR,2026-09-05T14:25:31.390155+00:00,,draftkings,-34.5,,,,,55.5,,,,,,,,,True,-34.5,56.5,cfbd,free
2026_CFB_W01_FCS282_PUR_bovada_20260905T142531Z,2026_CFB_W01_FCS282_PUR,2026-09-05T14:25:31.390155+00:00,,bovada,-35.5,,,,,56.0,,,,,,,,,True,-35.5,56.0,cfbd,free
2026_CFB_W01_FCS282_PUR_draftkings_20260905T142531Z,2026_CFB_W01_FCS282_PUR,2026-09-05T14:25:31.390155+00:00,,draftkings,-35.5,,,,,55.5,,,,,,,,,True,,,cfbd,free
2026_CFB_W01_FCS2643_CLT_draftkings_20260905T142531Z,2026_CFB_W01_FCS2643_CLT,2026-09-05T14:25:31.390155+00:00,,draftkings,-20.5,,,-1650.0,950.0,46.5,,,,,,,,,True,-15.5,46.5,cfbd,free
2026_CFB_W01_FCS2643_CLT_bovada_20260905T142531Z,2026_CFB_W01_FCS2643_CLT,2026-09-05T14:25:31.390155+00:00,,bovada,-20.0,,,-1400.0,750.0,46.5,,,,,,,,,True,-20.0,46.5,cfbd,free
2026_CFB_W01_FCS2698_KENN_draftkings_20260905T142531Z,2026_CFB_W01_FCS2698_KENN,2026-09-05T14:25:31.390155+00:00,,draftkings,-22.5,,,-3600.0,1500.0,50.5,,,,,,,,,True,-22.5,51.5,cfbd,free
