snapshot_id,game_id,retrieved_at,provider_updated_at,book,spread_home,spread_home_price,spread_away_price,ml_home,ml_away,total,over_price,under_price,spread_ticket_pct_home,spread_money_pct_home,ml_ticket_pct_home,ml_money_pct_home,total_ticket_pct_over,total_money_pct_over,is_first_snapshot,provider_open_spread_home,provider_open_total,source,plan
2026_CFB_W02_ISU_IOWA_draftkings_20260907T230513Z,2026_CFB_W02_ISU_IOWA,2026-09-07T23:05:13.631704+00:00,,draftkings,-14.5,,,-650.0,470.0,41.5,,,,,,,,,True,-11.5,41.5,cfbd,free
2026_CFB_W02_ISU_IOWA_bovada_20260907T230513Z,2026_CFB_W02_ISU_IOWA,2026-09-07T23:05:13.631704+00:00,,bovada,-14.0,,,-650.0,450.0,41.0,,,,,,,,,True,-14.0,41.0,cfbd,free
2026_CFB_W02_MIZ_KU_draftkings_20260907T230513Z,2026_CFB_W02_MIZ_KU,2026-09-07T23:05:13.631704+00:00,,draftkings,5.5,,,180.0,-218.0,50.5,,,,,,,,,True,7.0,52.5,cfbd,free
2026_CFB_W02_MIZ_KU_bovada_20260907T230513Z,2026_CFB_W02_MIZ_KU,2026-09-07T23:05:13.631704+00:00,,bovada,5.5,,,195.0,-235.0,50.0,,,,,,,,,True,6.5,50.0,cfbd,free
2026_CFB_W02_OSU_TEX_draftkings_20260907T230513Z,2026_CFB_W02_OSU_TEX,2026-09-07T23:05:13.631704+00:00,,draftkings,-1.5,,,-120.0,100.0,48.5,,,,,,,,,True,-1.5,,cfbd,free
2026_CFB_W02_OSU_TEX_bovada_20260907T230513Z,2026_CFB_W02_OSU_TEX,2026-09-07T23:05:13.631704+00:00,,bovada,-2.0,,,-110.0,-110.0,49.0,,,,,,,,,True,-2.5,47.5,cfbd,free
2026_CFB_W02_ORE_OKST_draftkings_20260907T230513Z,2026_CFB_W02_ORE_OKST,2026-09-07T23:05:13.631704+00:00,,draftkings,22.5,,,1100.0,-2100.0,57.5,,,,,,,,,True,18.5,60.5,cfbd,free
2026_CFB_W02_ORE_OKST_bovada_20260907T230513Z,2026_CFB_W02_ORE_OKST,2026-09-07T23:05:13.631704+00:00,,bovada,22.5,,,1000.0,-2200.0,57.5,,,,,,,,,True,22.5,57.5,cfbd,free
2026_CFB_W02_ARK_UTAH_draftkings_20260907T230513Z,2026_CFB_W02_ARK_UTAH,2026-09-07T23:05:13.631704+00:00,,draftkings,-13.5,,,-535.0,400.0,56.5,,,,,,,,,True,-9.5,54.5,cfbd,free
2026_CFB_W02_ARK_UTAH_bovada_20260907T230513Z,2026_CFB_W02_ARK_UTAH,2026-09-07T23:05:13.631704+00:00,,bovada,-13.0,,,-525.0,375.0,57.0,,,,,,,,,True,-13.0,57.0,cfbd,free
2026_CFB_W02_OU_MICH_draftkings_20260907T230513Z,2026_CFB_W02_OU_MICH,2026-09-07T23:05:13.631704+00:00,,draftkings,5.5,,,180.0,-218.0,43.5,,,,,,,,,True,-1.5,46.5,cfbd,free
2026_CFB_W02_OU_MICH_bovada_20260907T230513Z,2026_CFB_W02_OU_MICH,2026-09-07T23:05:13.631704+00:00,,bovada,5.5,,,175.0,-210.0,43.5,,,,,,,,,True,-1.5,45.5,cfbd,free
2026_CFB_W02_ASU_TAM_draftkings_20260907T230513Z,2026_CFB_W02_ASU_TAM,2026-09-07T23:05:13.631704+00:00,,draftkings,-14.5,,,-625.0,455.0,51.5,,,,,,,,,True,-14.5,51.5,cfbd,free
2026_CFB_W02_ASU_TAM_bovada_20260907T230513Z,2026_CFB_W02_ASU_TAM,2026-09-07T23:05:13.631704+00:00,,bovada,-14.0,,,-650.0,450.0,51.5,,,,,,,,,True,-14.0,51.5,cfbd,free
2026_CFB_W02_ODU_VT_draftkings_20260907T230513Z,2026_CFB_W02_ODU_VT,2026-09-07T23:05:13.631704+00:00,,draftkings,-18.5,,,-1200.0,750.0,51.5,,,,,,,,,True,-14.0,,cfbd,free
2026_CFB_W02_ODU_VT_bovada_20260907T230513Z,2026_CFB_W02_ODU_VT,2026-09-07T23:05:13.631704+00:00,,bovada,-18.5,,,-1200.0,700.0,51.0,,,,,,,,,True,-18.5,51.0,cfbd,free
2026_CFB_W02_MEM_BOIS_draftkings_20260907T230513Z,2026_CFB_W02_MEM_BOIS,2026-09-07T23:05:13.631704+00:00,,draftkings,-8.5,,,-355.0,280.0,54.5,,,,,,,,,True,-6.5,,cfbd,free
2026_CFB_W02_MEM_BOIS_bovada_20260907T230513Z,2026_CFB_W02_MEM_BOIS,2026-09-07T23:05:13.631704+00:00,,bovada,-9.5,,,-330.0,265.0,54.5,,,,,,,,,True,-7.5,55.5,cfbd,free
2026_CFB_W02_ARIZ_BYU_draftkings_20260907T230513Z,2026_CFB_W02_ARIZ_BYU,2026-09-07T23:05:13.631704+00:00,,draftkings,-7.5,,,-285.0,230.0,50.5,,,,,,,,,True,-6.5,,cfbd,free
2026_CFB_W02_ARIZ_BYU_bovada_20260907T230513Z,2026_CFB_W02_ARIZ_BYU,2026-09-07T23:05:13.631704+00:00,,bovada,-7.5,,,-310.0,255.0,50.0,,,,,,,,,True,-7.5,50.5,cfbd,free
2026_CFB_W02_ALA_UK_draftkings_20260907T230513Z,2026_CFB_W02_ALA_UK,2026-09-07T23:05:13.631704+00:00,,draftkings,10.5,,,320.0,-410.0,49.5,,,,,,,,,True,10.5,,cfbd,free
2026_CFB_W02_ALA_UK_bovada_20260907T230513Z,2026_CFB_W02_ALA_UK,2026-09-07T23:05:13.631704+00:00,,bovada,10.5,,,320.0,-430.0,49.0,,,,,,,,,True,10.5,49.0,cfbd,free
2026_CFB_W02_TENN_GT_draftkings_20260907T230513Z,2026_CFB_W02_TENN_GT,2026-09-07T23:05:13.631704+00:00,,draftkings,12.5,,,400.0,-535.0,55.5,,,,,,,,,True,8.5,,cfbd,free
2026_CFB_W02_TENN_GT_bovada_20260907T230513Z,2026_CFB_W02_TENN_GT,2026-09-07T23:05:13.631704+00:00,,bovada,13.0,,,390.0,-550.0,55.5,,,,,,,,,True,13.5,55.0,cfbd,free
2026_CFB_W02_SDSU_UCLA_draftkings_20260907T230513Z,2026_CFB_W02_SDSU_UCLA,2026-09-07T23:05:13.631704+00:00,,draftkings,-11.5,,,-470.0,360.0,53.5,,,,,,,,,True,-8.5,,cfbd,free
2026_CFB_W02_SDSU_UCLA_bovada_20260907T230513Z,2026_CFB_W02_SDSU_UCLA,2026-09-07T23:05:13.631704+00:00,,bovada,-12.0,,,-490.0,355.0,53.0,,,,,,,,,True,-11.5,53.0,cfbd,free
2026_CFB_W02_UTSA_TXST_draftkings_20260907T230513Z,2026_CFB_W02_UTSA_TXST,2026-09-07T23:05:13.631704+00:00,,draftkings,-1.5,,,-118.0,-102.0,64.5,,,,,,,,,True,-1.5,,cfbd,free
2026_CFB_W02_UTSA_TXST_bovada_20260907T230513Z,2026_CFB_W02_UTSA_TXST,2026-09-07T23:05:13.631704+00:00,,bovada,-1.5,,,-110.0,-110.0,64.5,,,,,,,,,True,1.0,64.5,cfbd,free
2026_CFB_W02_DUKE_ILL_draftkings_20260907T230513Z,2026_CFB_W02_DUKE_ILL,2026-09-07T23:05:13.631704+00:00,,draftkings,-6.0,,,-230.0,190.0,53.5,,,,,,,,,True,-8.5,,cfbd,free
2026_CFB_W02_DUKE_ILL_bovada_20260907T230513Z,2026_CFB_W02_DUKE_ILL,2026-09-07T23:05:13.631704+00:00,,bovada,-5.5,,,-235.0,195.0,53.5,,,,,,,,,True,-6.0,53.5,cfbd,free
2026_CFB_W02_UCF_PITT_draftkings_20260907T230513Z,2026_CFB_W02_UCF_PITT,2026-09-07T23:05:13.631704+00:00,,draftkings,-7.0,,,-270.0,220.0,57.5,,,,,,,,,True,-8.5,51.5,cfbd,free
2026_CFB_W02_UCF_PITT_bovada_20260907T230513Z,2026_CFB_W02_UCF_PITT,2026-09-07T23:05:13.631704+00:00,,bovada,-7.0,,,-300.0,250.0,57.5,,,,,,,,,True,-7.5,57.0,cfbd,free
2026_CFB_W02_CAL_SYR_draftkings_20260907T230513Z,2026_CFB_W02_CAL_SYR,2026-09-07T23:05:13.631704+00:00,,draftkings,-3.5,,,-166.0,140.0,56.5,,,,,,,,,True,1.5,52.5,cfbd,free
2026_CFB_W02_CAL_SYR_bovada_20260907T230513Z,2026_CFB_W02_CAL_SYR,2026-09-07T23:05:13.631704+00:00,,bovada,-3.0,,,-165.0,140.0,56.5,,,,,,,,,True,-3.0,56.0,cfbd,free
2026_CFB_W02_USU_WASH_draftkings_20260907T230513Z,2026_CFB_W02_USU_WASH,2026-09-07T23:05:13.631704+00:00,,draftkings,-26.5,,,-4000.0,1600.0,55.5,,,,,,,,,True,-24.5,56.5,cfbd,free
2026_CFB_W02_USU_WASH_bovada_20260907T230513Z,2026_CFB_W02_USU_WASH,2026-09-07T23:05:13.631704+00:00,,bovada,-26.5,,,-5000.0,1300.0,55.5,,,,,,,,,True,-26.5,55.5,cfbd,free
2026_CFB_W02_PSU_TEM_draftkings_20260907T230513Z,2026_CFB_W02_PSU_TEM,2026-09-07T23:05:13.631704+00:00,,draftkings,23.5,,,1400.0,-3200.0,49.5,,,,,,,,,True,21.5,51.5,cfbd,free
2026_CFB_W02_PSU_TEM_bovada_20260907T230513Z,2026_CFB_W02_PSU_TEM,2026-09-07T23:05:13.631704+00:00,,bovada,24.0,,,1100.0,-3300.0,49.5,,,,,,,,,True,23.5,49.5,cfbd,free
2026_CFB_W02_USF_ARMY_draftkings_20260907T230513Z,2026_CFB_W02_USF_ARMY,2026-09-07T23:05:13.631704+00:00,,draftkings,-3.5,,,-185.0,154.0,48.5,,,,,,,,,True,-1.5,52.5,cfbd,free
2026_CFB_W02_USF_ARMY_bovada_20260907T230513Z,2026_CFB_W02_USF_ARMY,2026-09-07T23:05:13.631704+00:00,,bovada,-3.5,,,-175.0,150.0,48.0,,,,,,,,,True,-3.5,49.5,cfbd,free
2026_CFB_W02_EMU_MSU_draftkings_20260907T230513Z,2026_CFB_W02_EMU_MSU,2026-09-07T23:05:13.631704+00:00,,draftkings,-17.5,,,-850.0,575.0,50.5,,,,,,,,,True,-15.5,51.5,cfbd,free
2026_CFB_W02_EMU_MSU_bovada_20260907T230513Z,2026_CFB_W02_EMU_MSU,2026-09-07T23:05:13.631704+00:00,,bovada,-17.0,,,-1000.0,625.0,50.5,,,,,,,,,True,-17.0,51.0,cfbd,free
2026_CFB_W02_UNLV_UNT_draftkings_20260907T230513Z,2026_CFB_W02_UNLV_UNT,2026-09-07T23:05:13.631704+00:00,,draftkings,3.5,,,154.0,-185.0,57.5,,,,,,,,,True,6.5,61.5,cfbd,free
2026_CFB_W02_UNLV_UNT_bovada_20260907T230513Z,2026_CFB_W02_UNLV_UNT,2026-09-07T23:05:13.631704+00:00,,bovada,4.0,,,160.0,-185.0,57.0,,,,,,,,,True,4.5,57.0,cfbd,free
2026_CFB_W02_MTSU_MRSH_draftkings_20260907T230513Z,2026_CFB_W02_MTSU_MRSH,2026-09-07T23:05:13.631704+00:00,,draftkings,-14.0,,,-600.0,440.0,58.5,,,,,,,,,True,-17.5,57.5,cfbd,free
2026_CFB_W02_MTSU_MRSH_bovada_20260907T230513Z,2026_CFB_W02_MTSU_MRSH,2026-09-07T23:05:13.631704+00:00,,bovada,-14.0,,,-750.0,500.0,58.0,,,,,,,,,True,-14.0,57.5,cfbd,free
2026_CFB_W02_UL_USC_draftkings_20260907T230513Z,2026_CFB_W02_UL_USC,2026-09-07T23:05:13.631704+00:00,,draftkings,-31.5,,,,3500.0,60.5,,,,,,,,,True,-28.5,63.5,cfbd,free
2026_CFB_W02_UL_USC_bovada_20260907T230513Z,2026_CFB_W02_UL_USC,2026-09-07T23:05:13.631704+00:00,,bovada,-31.0,,,,,60.0,,,,,,,,,True,-31.0,60.0,cfbd,free
2026_CFB_W02_WKU_UGA_draftkings_20260907T230513Z,2026_CFB_W02_WKU_UGA,2026-09-07T23:05:13.631704+00:00,,draftkings,-40.5,,,,,54.5,,,,,,,,,True,-35.5,52.5,cfbd,free
2026_CFB_W02_WKU_UGA_bovada_20260907T230513Z,2026_CFB_W02_WKU_UGA,2026-09-07T23:05:13.631704+00:00,,bovada,-39.5,,,,,54.0,,,,,,,,,True,-39.5,54.0,cfbd,free
2026_CFB_W02_RICE_ND_draftkings_20260907T230513Z,2026_CFB_W02_RICE_ND,2026-09-07T23:05:13.631704+00:00,,draftkings,-44.5,,,,,54.5,,,,,,,,,True,-44.5,52.5,cfbd,free
